CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/27/2021,6/30/2021,0.81,2.14,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/29/2021,3/31/2021,1.92,1.91,,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/16/2021,12/31/2020,1.7,1.7,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/23/2020,9/30/2020,0.67,1.14,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/24/2020,6/30/2020,0.86,0.86,,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/24/2020,3/31/2020,0.94,0.93,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/14/2020,12/31/2019,1.07,1.07,,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/24/2019,9/30/2019,1.17,1.16,,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/25/2019,6/28/2019,1.12,1.15,,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/30/2019,3/29/2019,1.17,1.19,,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/14/2018,12/31/2018,0.87,1.25,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/2/2018,9/28/2018,1.17,1.17,,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/3/2018,6/29/2018,1.3,1.1,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/4/2018,3/29/2018,1,0.99,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2017,2.57,,,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2017,0.75,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2017,0.62,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2017,0.47,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.31,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2016,-0.74,,,-0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.15,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.22,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.32,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.52,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.87,,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.96,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2014,0.88,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.88,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.88,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.88,,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
