CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/31/2023,6/30/2023,2.82,3.14,,2.57,,2.48,,2.35,,2.12,,2.01,,2.01,,2.01,,1.9,,2.13,,2.01,,2.01,,1.7,,1.7,,,,2.26,,2.26,,2.26,,2.62,,2.66,,2.66,,3.06,,3.13,,3.13,,3.13,,2.6,,3.04,,3.04,,3.05,,3.73,,3.78,,3.78,,3.78,,,,,,,,,,,,,,,,,,,,,,,
,6/6/2023,3/30/2023,1.96,2.36,,1.91,,1.76,,1.86,,1.86,,1.91,,1.82,,2.03,,1.95,,1.95,,1.28,,1.28,,,,1.89,,1.89,,1.89,,2.32,,2.36,,2.36,,3.01,,2.93,,2.93,,2.93,,2.24,,2.55,,2.55,,2.56,,3.19,,3.24,,3.24,,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/16/2023,12/31/2022,2.01,2.46,,1.96,,1.94,,1.79,,1.77,,1.77,,1.59,,1.67,,1.78,,2.18,,2.4,,2.8,3/12/2022,2.8,2/6/2022,2.8,1/6/2022,2.92,12/5/2021,2.6,11/8/2021,2.6,10/4/2021,3.03,8/29/2021,3.49,7/13/2021,3.49,6/14/2021,3.49,5/16/2021,2.85,4/3/2021,3.95,2/21/2021,3.96,1/19/2021,3.97,1/4/2021,4.26,12/2/2020,4.39,11/1/2020,4.39,10/3/2020,4.39,9/30/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/8/2022,9/30/2022,2.2,2.6,,2.14,,2.13,,1.62,,1.63,,1.64,,2.18,,1.97,,2.15,,2.15,,2.15,,2.34,,2.5,,2.5,,2.3,,3.37,,3.37,,3.37,,2.62,,3.47,,3.47,,3.48,,3.72,,3.8,,3.8,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/1/2022,6/30/2022,1.68,2.22,,1.7,,1.68,,2.06,,2.09,,2.26,,2.26,,2.26,,2.62,,2.66,,2.66,,3.06,,3.13,,3.13,,3.13,,2.6,,3.04,,3.04,,3.05,,3.73,,3.78,,3.78,,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/7/2022,3/30/2022,1.42,1.94,,1.62,,1.82,,1.89,,1.89,,1.89,,2.32,,2.36,,2.36,,3.01,,2.93,,2.93,,2.93,,2.24,,2.55,,2.55,,2.56,,3.19,,3.24,,3.24,,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/24/2022,12/31/2021,-21.5,1.38,,1.59,,1.59,,1.59,,1.99,,2.12,,2.12,,2.45,,2.68,,2.92,,3,5/16/2021,2.85,4/3/2021,3.95,2/21/2021,3.96,1/19/2021,3.97,1/4/2021,4.26,12/2/2020,4.39,11/1/2020,4.39,10/3/2020,4.39,9/30/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/30/2021,9/30/2021,1.93,2.61,,2.01,,2.01,,2.12,,2.57,,2.68,,2.64,,2.62,,3.47,,3.47,,3.48,,3.72,,3.8,,3.8,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/26/2021,6/30/2021,2.15,2.54,,2.24,,2.44,,2.62,,2.6,,3.04,,3.04,,3.05,,3.73,,3.78,,3.78,,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/8/2021,3/31/2021,2.14,2.91,,2.31,,2.24,,2.55,,2.55,,2.56,,3.19,,3.24,,3.24,,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/25/2021,12/31/2020,2.98,3.72,,2.71,,2.71,,2.72,,2.81,,2.91,3/17/2020,2.92,3/17/2020,0.946678876,3/8/2020,0.946678876,,0.931182644,,0.957948862,,0.963873371,,0.98,,1.042978723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/1/2020,9/30/2020,2.11,2.98,,2.52,,2.53,,0.860745228,,0.860745228,,0.818482778,,0.828344016,,0.831284916,,0.84,,0.885319149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/3/2020,6/30/2020,2.11,3.05,,0.85088399,,0.85088399,,0.811439036,,0.802986546,,0.802979516,,0.83,,0.873191489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/28/2020,3/31/2020,2.46,3.34,,0.748045362,,0.748045362,,0.695921674,,0.708600409,,0.718063315,,0.73,,0.667021277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/19/2020,12/31/2019,4.74,5.52,,0.736775375,,0.736775375,,0.722687892,,0.788899063,,0.83575419,,0.85,,0.86,,0.77,,0.85,,0.9,,0.85,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/26/2019,9/30/2019,4.04,4.8,,0.609988026,,0.611396774,,0.65647672,,0.694227188,,0.72,,0.73,,0.7,,0.79,,0.82,,0.8,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/27/2019,6/28/2019,3.33,5.6,,0.711417905,,0.710009157,,0.752327747,,0.71,,0.72,,0.69,,0.75,,0.76,,0.8,,0.78,,0.73,,0.5198274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/28/2019,3/29/2019,1.36,4.15,,0.54,,0.55,,0.6,,0.7,,0.73,,0.72,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/12/2019,12/31/2018,3.04,4.06,,0.52,,0.59,,0.62,,0.65,,0.63,,0.67,,0.71,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/5/2018,9/28/2018,2.69,3.64,,0.52,,0.55,,0.58,,0.59,,0.57,,0.58,,0.59,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/22/2018,6/29/2018,3.55,4.37,,0.61,,0.57,,0.51,,0.52,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/29/2018,3/29/2018,3.98,4.33,,0.5,,0.45,,0.47,,0.49,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/7/2018,12/29/2017,3.1,,,0.46,,0.47,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/28/2017,9/29/2017,2.58,,,0.38,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/22/2017,6/30/2017,1.97,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/23/2017,3/31/2017,2.98,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/7/2017,12/30/2016,2.78,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/8/2016,9/30/2016,1.29,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/16/2016,6/30/2016,0.54,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/17/2016,3/31/2016,0.2,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/15/2016,12/31/2015,0.203,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/20/2015,9/30/2015,0.06,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/20/2015,6/30/2015,0.06,,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.2,,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,-1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,7.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
