Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,,
,6/28/2013,0.274182964,,0.265,,0.27,,0.265,0.24,,,,,,,,,,,
,3/28/2013,0.256337843,,0.24,,0.285,,,,,,,,,,,,,,
,12/31/2012,0.283856561,,0.285,,0.225,,,,,,,,,,,,,,
,9/28/2012,0.231868132,,0.225,,,,,,,,,,,,,,,,
,6/29/2012,0.214469619,,0.225,,,,,,,,,,,,,,,,
,3/30/2012,0.200310358,,0.195,,,,,,,,,,,,,,,,
,12/30/2011,0.248601171,,,,,,,,,,,,,,,,,,
,9/30/2011,0.233116461,,,,,,,,,,,,,,,,,,
,7/5/2011,0.180917217,,,,,,,,,,,,,,,,,,
,4/1/2011,0.169409173,,,,,,,,,,,,,,,,,,
,12/31/2010,0.226033651,,,,,,,,,,,,,,,,,,
,10/1/2010,0.182478409,,,,,,,,,,,,,,,,,,
,6/25/2010,0.135581062,,,,,,,,,,,,,,,,,,
,3/26/2010,0.141674273,,,,,,,,,,,,,,,,,,
,12/24/2009,0.158277625,,,,,,,,,,,,,,,,,,
,9/25/2009,0.100549672,,,,,,,,,,,,,,,,,,
,6/26/2009,0.101446364,,,,,,,,,,,,,,,,,,
,3/27/2009,0.016894175,,,,,,,,,,,,,,,,,,
,12/26/2008,0.04349885,,,,,,,,,,,,,,,,,,
,9/30/2008,0.005,,,,,,,,,,,,,,,,,,
,6/30/2008,-0.005,,,,,,,,,,,,,,,,,,
,3/28/2008,0.075,,,,,,,,,,,,,,,,,,
,12/27/2007,0.14,,,,,,,,,,,,,,,,,,
,9/28/2007,0.105,,,,,,,,,,,,,,,,,,
,6/29/2007,0.105,,,,,,,,,,,,,,,,,,
,3/28/2007,0.095,,,,,,,,,,,,,,,,,,
,12/27/2006,0.13,,,,,,,,,,,,,,,,,,
,9/29/2006,0.075,,,,,,,,,,,,,,,,,,
,6/30/2006,0.09,,,,,,,,,,,,,,,,,,
,3/31/2006,0.08,,,,,,,,,,,,,,,,,,
,12/30/2005,0.11,,,,,,,,,,,,,,,,,,
,9/30/2005,0.075,,,,,,,,,,,,,,,,,,
,7/1/2005,0.0775,,,,,,,,,,,,,,,,,,
,4/1/2005,0.06,,,,,,,,,,,,,,,,,,
,12/31/2004,0.0875,,,,,,,,,,,,,,,,,,
,10/1/2004,0.065,,,,,,,,,,,,,,,,,,
,6/25/2004,0.06,,,,,,,,,,,,,,,,,,
,3/26/2004,0.0475,,,,,,,,,,,,,,,,,,
,12/26/2003,0.0675,,,,,,,,,,,,,,,,,,
,9/26/2003,0.045,,,,,,,,,,,,,,,,,,
,6/27/2003,0.0425,,,,,,,,,,,,,,,,,,
,3/28/2003,0.0325,,,,,,,,,,,,,,,,,,
,12/27/2002,0.05,,,,,,,,,,,,,,,,,,
,9/27/2002,0.0375,,,,,,,,,,,,,,,,,,
,6/28/2002,0.035,,,,,,,,,,,,,,,,,,
,3/28/2002,0.02,,,,,,,,,,,,,,,,,,
,12/31/2001,0.0425,,,,,,,,,,,,,,,,,,
,9/28/2001,0.035,,,,,,,,,,,,,,,,,,
,6/29/2001,0.03,,,,,,,,,,,,,,,,,,
,3/30/2001,0.02,,,,,,,,,,,,,,,,,,
,12/29/2000,0.03125,,,,,,,,,,,,,,,,,,
,9/29/2000,0.0025,,,,,,,,,,,,,,,,,,
,6/30/2000,0.0225,,,,,,,,,,,,,,,,,,
,3/31/2000,0.015,,,,,,,,,,,,,,,,,,
,12/31/1999,0.0225,,,,,,,,,,,,,,,,,,
,10/1/1999,0.02125,,,,,,,,,,,,,,,,,,
,6/25/1999,0.01625,,,,,,,,,,,,,,,,,,
,3/26/1999,0.0125,,,,,,,,,,,,,,,,,,
,12/24/1998,0.018125,,,,,,,,,,,,,,,,,,
,9/25/1998,0.015625,,,,,,,,,,,,,,,,,,
,6/26/1998,0.005625,,,,,,,,,,,,,,,,,,
,3/27/1998,0.010625,,,,,,,,,,,,,,,,,,
,12/26/1997,0.015625,,,,,,,,,,,,,,,,,,
,9/26/1997,0.01625,,,,,,,,,,,,,,,,,,
,6/27/1997,0.01125,,,,,,,,,,,,,,,,,,
,3/27/1997,0.0075,,,,,,,,,,,,,,,,,,
