CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,
,,3/29/2019,2.180948801,2.180948801,,1.942553,,0.48563825,,1.9738845,,,,,,,,,
,,12/31/2018,1.76572046,1.76572046,,1.7858955,,1.9112215,,1.8485585,,,,,,,,,
,,9/28/2018,1.867766204,1.867766204,,0.305,,,,,,,,,,,,,
,,6/29/2018,2.127401374,2.127401374,,0.325,,,,,,,,,,,,,
,,3/29/2018,2.200999058,2.200999058,,0.345,,,,,,,,,,,,,
,,12/29/2017,1.680102602,1.680102602,,1.817227,,1.6605695,,1.5979065,,1.629238,,1.6605695,,,,,
,,9/29/2017,1.978213331,1.978213331,,1.9112215,,1.817227,,1.7858955,,1.7232325,,,,,,,
,,6/30/2017,2.00293869,2.00293869,,1.87989,,1.691901,,,,,,,,,,,
,,3/31/2017,2.0312,2.0312,,1.6605695,,1.566575,,,,,,,,,,,
,,12/30/2016,1.727980613,1.727980613,,1.566575,,1.629238,,1.754564,,1.817227,,,,,,,
,,9/30/2016,1.936662847,1.936662847,,1.754564,,1.817227,,1.8485585,,,,,,,,,
,,6/30/2016,1.958041958,1.958041958,,1.817227,,,,,,,,,,,,,
,,3/31/2016,1.853848869,1.853848869,,1.7232325,,1.4725805,,,,,,,,,,,
,,12/31/2015,1.613079658,1.613079658,,1.4725805,,1.5352435,,1.4725805,,1.5352435,,1.566575,,,,,
,,9/30/2015,1.629792363,1.629792363,,1.4725805,,1.441249,,1.4725805,,,,,,,,,
,,6/30/2015,1.614295112,1.614295112,,nan,,,,,,,,,,,,,
,,3/31/2015,1.896167729,1.896167729,,nan,,,,,,,,,,,,,
,,12/31/2014,1.251629476,1.251629476,,1.5979065,,1.566575,,,,,,,,,,,
,,9/30/2014,1.239417283,1.239417283,,nan,,1.4725805,,,,,,,,,,,
,,6/30/2014,1.325977325,1.325977325,,1.4725805,,1.378586,,,,,,,,,,,
,,3/31/2014,1.217066827,1.217066827,,1.378586,,1.3472545,,1.378586,,,,,,,,,
,,1/3/2014,1.134880756,1.134880756,,nan,,,,,,,,,,,,,
,,10/2/2013,1.196158866,1.196158866,,nan,,,,,,,,,,,,,
,,7/2/2013,1.245883441,1.245883441,,nan,,,,,,,,,,,,,
,,4/2/2013,1.098219203,1.098219203,,0.939945,,,,,,,,,,,,,
,,1/3/2013,1.054029304,1.054029304,,0.814619,,,,,,,,,,,,,
,,10/2/2012,1.034501643,1.034501643,,4.0417635,,,,,,,,,,,,,
,,7/3/2012,0.967776973,0.967776973,,4.511736,,,,,,,,,,,,,
,,4/3/2012,0.832114184,0.832114184,,4.637062,,,,,,,,,,,,,
,,1/4/2012,0.834490123,0.834490123,,4.0417635,,,,,,,,,,,,,
,,10/4/2011,0.739482485,0.739482485,,4.0417635,,,,,,,,,,,,,
,,7/5/2011,0.720460091,0.720460091,,4.511736,,,,,,,,,,,,,
,,4/4/2011,0.706259754,0.706259754,,nan,,,,,,,,,,,,,
,,1/4/2011,0.683290043,0.683290043,,nan,,,,,,,,,,,,,
,,10/4/2010,0.61566203,0.61566203,,nan,,,,,,,,,,,,,
,,7/2/2010,0.602479199,0.602479199,,nan,,,,,,,,,,,,,
,,4/5/2010,0.560539629,0.560539629,,nan,,,,,,,,,,,,,
,,1/5/2010,0.390288978,0.390288978,,nan,,,,,,,,,,,,,
,,10/2/2009,0.458097772,0.458097772,,nan,,,,,,,,,,,,,
,,7/2/2009,0.492021714,0.492021714,,nan,,,,,,,,,,,,,
,,4/2/2009,0.440509221,0.440509221,,nan,,,,,,,,,,,,,
,,1/5/2009,0.379231771,0.379231771,,nan,,,,,,,,,,,,,
,,10/2/2008,0.430649855,0.430649855,,nan,,,,,,,,,,,,,
,,7/2/2008,0.396311147,0.396311147,,nan,,,,,,,,,,,,,
,,4/2/2008,0.348076002,0.348076002,,nan,,,,,,,,,,,,,
,,1/3/2008,0.155177891,0.155177891,,nan,,,,,,,,,,,,,
,,10/2/2007,0.34318039,0.34318039,,nan,,,,,,,,,,,,,
,,7/3/2007,0.570446735,0.570446735,,nan,,,,,,,,,,,,,
,,4/3/2007,0.267281827,0.267281827,,nan,,,,,,,,,,,,,
,,1/4/2007,0.270050125,0.270050125,,nan,,,,,,,,,,,,,
,,10/3/2006,0.275637042,0.275637042,,nan,,,,,,,,,,,,,
,,7/5/2006,0.268567026,0.268567026,,nan,,,,,,,,,,,,,
,,4/4/2006,0.186193112,0.186193112,,nan,,,,,,,,,,,,,
,,1/4/2006,0.1841133,0.1841133,,nan,,,,,,,,,,,,,
,,10/4/2005,0.267971857,0.267971857,,nan,,,,,,,,,,,,,
,,7/5/2005,0.254534462,0.254534462,,nan,,,,,,,,,,,,,
,,4/4/2005,0.18487395,0.18487395,,nan,,,,,,,,,,,,,
,,12/31/2004,0.2185,0.2185,,nan,,,,,,,,,,,,,
,,9/30/2004,0.1815,0.1815,,nan,,,,,,,,,,,,,
,,6/30/2004,0.187,0.187,,nan,,,,,,,,,,,,,
,,3/31/2004,0.158,0.158,,nan,,,,,,,,,,,,,
,,12/31/2003,0.2085,0.2085,,nan,,,,,,,,,,,,,
,,9/30/2003,0.1655,0.1655,,nan,,,,,,,,,,,,,
,,6/30/2003,0.188,0.188,,nan,,,,,,,,,,,,,
,,3/31/2003,0.1555,0.1555,,nan,,,,,,,,,,,,,
,,12/31/2002,0.1675,0.1675,,nan,,,,,,,,,,,,,
,,9/30/2002,0.1435,0.1435,,nan,,,,,,,,,,,,,
,,6/28/2002,0.1575,0.1575,,nan,,,,,,,,,,,,,
,,3/28/2002,0.118,0.118,,nan,,,,,,,,,,,,,
,,12/31/2001,0.1445,0.1445,,nan,,,,,,,,,,,,,
,,9/28/2001,0.1365,0.1365,,nan,,,,,,,,,,,,,
,,6/29/2001,0.1275,0.1275,,nan,,,,,,,,,,,,,
