CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,,,,,,,,,,
,,6/30/2014,0.895054169,,0.93,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.775790307,,0.75,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,1.01,,1.01,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.9,,0.84,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.84,,0.79,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.67,,0.65,,,,,,,,,,,,,,,,,,,,
,,12/31/2012,0.94,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.69,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.66,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.56,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.75,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.64,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.586666667,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.573333333,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.666666667,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.613333333,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.54,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.473333333,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,0.653333333,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,0.69,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,0.64,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,0.546666667,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,0.676666667,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,0.68,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,0.706666667,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,0.506666667,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,0.556666667,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,0.366666667,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,0.37,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2007,0.196666667,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2006,0.193333333,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2006,0.17,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2006,0.193333333,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2006,0.106666667,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2005,0.063333333,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2005,-0.053333333,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2005,0.106666667,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2005,-0.013333333,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2004,0.026666667,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2004,0.036666667,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2004,0.036666667,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2004,0.043333333,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2003,0.083333333,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2003,0.06,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2003,0.09,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2003,0.033333333,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2002,0.066666667,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2002,0.041666667,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2002,0.077777778,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2002,0.055555556,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2001,-0.022222222,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2001,0.022222222,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2001,0,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2001,-0.075,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2000,-0.002777778,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2000,-0.1,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2000,0.091666667,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2000,0.086111111,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1999,-0.086111111,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1999,0.036111111,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1999,0.061111111,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1999,0.077777778,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1998,0.055555556,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1998,0.111111111,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1998,0.086111111,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1998,0.088888889,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1997,0.019444444,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1997,0.047222222,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1997,0.169444444,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1997,0.113888889,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1996,0.141666667,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1996,0.122222222,,,,,,,,,,,,,,,,,,,,,,
,,6/28/1996,0.105555556,,,,,,,,,,,,,,,,,,,,,,
,,3/29/1996,0.108333333,,,,,,,,,,,,,,,,,,,,,,
,,12/29/1995,0.066666667,,,,,,,,,,,,,,,,,,,,,,
,,9/29/1995,0.102777778,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1995,0.088888889,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1995,0.086111111,,,,,,,,,,,,,,,,,,,,,,
,,12/30/1994,0.075,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1994,0.072222222,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1994,0.066666667,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1994,0.061111111,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1993,0.097777778,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1993,0.061111111,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1993,0.058055556,,,,,,,,,,,,,,,,,,,,,,
