Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,3/31/2015,0.632131836,,0.81,,0.82,,0.88,,1.04,,1.05,1.12,1.09,1.1,,,,,,,,,,,,,,
,12/30/2014,-5.752400235,,1.08,,1.09,,1.1,,1.09,,1.1,1.09,1.1,1.18,1.39,1.46,1.45,1.38,1.25,1.29,1.27,1.22,1.19,1.2,1.23,1.24,1.06,1.09
,9/29/2014,1.097057305,,1.1,,1.09,,1.08,,1.04,,1.13,1.37,1.45,1.37,1.22,1.3,1.29,1.24,1.2,1.21,1.22,1.21,0.91,0.9,,,,
,6/27/2014,0.9583226140000001,,0.9,,1.03,,1.27,,1.34,,1.27,1.17,1.22,1.21,1.15,1.14,1.16,1.18,1.17,1.17,,,,,,,,
,3/28/2014,0.7003341040000001,,1.17,,1.29,,1.21,,1.18,,1.11,1.1,1.07,1.08,1.07,1.06,,,,,,,,,,,,
,12/30/2013,1.104620009,,1.06,,1.05,,1.07,,1.08,,1.03,1.05,,,,,,,,,,,,,,,,
,9/27/2013,1.068372154,,1.0,,1.02,,1.04,,1.03,,1.02,,,,,,,,,,,,,,,,,
,6/27/2013,0.897717612,,0.9,,0.89,,0.91,,0.94,,1.02,1.06,0.99,0.97,0.93,0.84,,,,,,,,,,,,
,3/27/2013,0.867016738,,0.87,,0.95,,0.92,,0.86,,0.84,0.83,0.84,0.86,,,,,,,,,,,,,,
,12/27/2012,0.9234207590000001,,0.83,,0.83,,0.84,,,,,,,,,,,,,,,,,,,,,
,9/27/2012,0.856927415,,0.79,,0.79,,,,,,,,,,,,,,,,,,,,,,,
,6/28/2012,0.7979910709999999,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,
,3/29/2012,0.766284283,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,
,12/29/2011,0.606829139,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/28/2011,0.544440779,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/28/2011,0.500296697,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/29/2011,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/29/2010,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/28/2010,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/28/2010,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/29/2010,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/30/2009,-3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/29/2009,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/29/2009,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/30/2009,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/30/2008,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/29/2008,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/27/2008,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/28/2008,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/28/2007,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/27/2007,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/28/2007,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/29/2007,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/28/2006,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/28/2006,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/29/2006,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/30/2006,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/29/2005,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/29/2005,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/29/2005,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/30/2005,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/30/2004,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/29/2004,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/29/2004,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/30/2004,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/30/2003,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/29/2003,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/27/2003,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/28/2003,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/30/2002,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/27/2002,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/27/2002,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/27/2002,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2001,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/28/2001,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/29/2001,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/30/2001,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/29/2000,-1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/29/2000,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2000,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2000,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/1999,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/1999,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/1999,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/1999,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/1998,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/1998,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,
