Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,,
,6/30/2014,1.983073593,,2.07,,2.08,,2.01,,2.02,,1.95,,1.99,2.01,2.17,1.61,,,,,,,,
,3/31/2014,1.597512929,,1.62,,1.63,,1.64,,1.79,,1.8,,1.88,1.25,,,,,,,,,,
,12/31/2013,1.664714396,,1.23,,1.28,,1.31,,1.54,,1.47,,,,,,,,,,,,,
,9/30/2013,1.608821152,,1.48,,1.49,,1.77,,1.8,,1.97,,,,,,,,,,,,,
,6/28/2013,1.782620277,,1.98,,1.97,,1.98,,1.99,,1.93,,1.67,,,,,,,,,,,
,3/28/2013,1.683899773,,1.67,,1.68,,1.76,,1.75,,1.12,,,,,,,,,,,,,
,12/31/2012,1.188985157,,1.19,,1.2,,1.73,,,,,,,,,,,,,,,,,
,9/28/2012,1.570865809,,1.73,,,,,,,,,,,,,,,,,,,,,
,6/29/2012,1.958832288,,1.91,,,,,,,,,,,,,,,,,,,,,
,3/30/2012,2.014105125,,1.72,,,,,,,,,,,,,,,,,,,,,
,12/30/2011,1.556168176,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2011,1.948438059,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2011,1.833414637,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2011,1.724150626,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2010,1.414740476,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2010,1.532629213,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2010,1.380669171,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2010,0.956079826,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2009,0.650291952,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2009,0.457531746,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2009,0.306478956,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2009,0.332787156,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2008,0.966189071,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2008,1.521609123,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2008,1.473186999,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2008,1.49,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2007,1.23,,,,,,,,,,,,,,,,,,,,,,,
,9/28/2007,1.33,,,,,,,,,,,,,,,,,,,,,,,
,6/29/2007,1.226666667,,,,,,,,,,,,,,,,,,,,,,,
,3/30/2007,1.186666667,,,,,,,,,,,,,,,,,,,,,,,
,12/29/2006,1.093333333,,,,,,,,,,,,,,,,,,,,,,,
,9/29/2006,1.166666667,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2006,1.06,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2006,0.973333333,,,,,,,,,,,,,,,,,,,,,,,
,12/30/2005,0.713333333,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2005,0.953333333,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2005,0.893333333,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2005,0.766666667,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2004,0.94,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2004,0.74,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2004,0.7,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2004,0.6,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2003,0.313333333,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2003,0.32,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2003,0.28,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2003,0.28,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2002,0.213333333,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2002,0.346666667,,,,,,,,,,,,,,,,,,,,,,,
,6/28/2002,-0.066666667,,,,,,,,,,,,,,,,,,,,,,,
,3/28/2002,0.3,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2001,0.166666667,,,,,,,,,,,,,,,,,,,,,,,
,9/28/2001,0.346666667,,,,,,,,,,,,,,,,,,,,,,,
,6/29/2001,0.28,,,,,,,,,,,,,,,,,,,,,,,
,3/30/2001,0.513333333,,,,,,,,,,,,,,,,,,,,,,,
,12/29/2000,0.453333333,,,,,,,,,,,,,,,,,,,,,,,
,9/29/2000,0.726666667,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2000,0.66,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2000,0.646666667,,,,,,,,,,,,,,,,,,,,,,,
,12/31/1999,0.453333333,,,,,,,,,,,,,,,,,,,,,,,
,9/30/1999,0.446666667,,,,,,,,,,,,,,,,,,,,,,,
,6/30/1999,0.56,,,,,,,,,,,,,,,,,,,,,,,
,3/31/1999,0.466666667,,,,,,,,,,,,,,,,,,,,,,,
,12/31/1998,0.386666667,,,,,,,,,,,,,,,,,,,,,,,
,9/30/1998,0.473333333,,,,,,,,,,,,,,,,,,,,,,,
,6/30/1998,0.513333333,,,,,,,,,,,,,,,,,,,,,,,
,3/31/1998,0.5,,,,,,,,,,,,,,,,,,,,,,,
,12/31/1997,0.42,,,,,,,,,,,,,,,,,,,,,,,
,9/30/1997,0.466666667,,,,,,,,,,,,,,,,,,,,,,,
,6/30/1997,0.546666667,,,,,,,,,,,,,,,,,,,,,,,
,3/31/1997,0.466666667,,,,,,,,,,,,,,,,,,,,,,,
,12/31/1996,0.313333333,,,,,,,,,,,,,,,,,,,,,,,
,9/30/1996,0.3,,,,,,,,,,,,,,,,,,,,,,,
,6/28/1996,0.386666667,,,,,,,,,,,,,,,,,,,,,,,
,3/29/1996,0.413333333,,,,,,,,,,,,,,,,,,,,,,,
,12/29/1995,0.293333333,,,,,,,,,,,,,,,,,,,,,,,
,9/29/1995,0.342222222,,,,,,,,,,,,,,,,,,,,,,,
,6/30/1995,0.408888889,,,,,,,,,,,,,,,,,,,,,,,
,3/31/1995,0.395555556,,,,,,,,,,,,,,,,,,,,,,,
,12/30/1994,0.248888889,,,,,,,,,,,,,,,,,,,,,,,
,9/30/1994,0.262222222,,,,,,,,,,,,,,,,,,,,,,,
,6/30/1994,0.248888889,,,,,,,,,,,,,,,,,,,,,,,
,3/31/1994,-0.115555556,,,,,,,,,,,,,,,,,,,,,,,
,12/31/1993,0.059259259,,,,,,,,,,,,,,,,,,,,,,,
,9/30/1993,0.097777778,,,,,,,,,,,,,,,,,,,,,,,
,6/30/1993,0.118518519,,,,,,,,,,,,,,,,,,,,,,,
,3/31/1993,0.091851852,,,,,,,,,,,,,,,,,,,,,,,
,12/31/1992,0.088888889,,,,,,,,,,,,,,,,,,,,,,,
