CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,6/30/2014,0.402894668,,,0.37,,,,,,,,,,,,,,
,,3/31/2014,0.352742674,,,0.34,,,,,,,,,,,,,,
,,12/31/2013,0.356814807,,,0.34,,,,,,,,,,,,,,
,,9/30/2013,0.325484908,,,,,,,,,,,,,,,,,
,,6/28/2013,0.389706902,,,,,,,,,,,,,,,,,
,,3/28/2013,0.238799721,,,,,,,,,,,,,,,,,
,,12/31/2012,0.37300357,,,,,,,,,,,,,,,,,
,,9/28/2012,0.183561378,,,,,,,,,,,,,,,,,
,,6/29/2012,0.154182173,,,,,,,,,,,,,,,,,
,,3/30/2012,0.115983801,,,,,,,,,,,,,,,,,
,,12/30/2011,0.065381968,,,,,,,,,,,,,,,,,
,,9/30/2011,0.04427735,,,,,,,,,,,,,,,,,
,,6/30/2011,0.045873706,,,,,,,,,,,,,,,,,
,,3/31/2011,0.0327108,,,,,,,,,,,,,,,,,
,,12/31/2010,-0.165159832,,,,,,,,,,,,,,,,,
,,9/30/2010,-0.006048654,,,,,,,,,,,,,,,,,
,,6/30/2010,-0.017170177,,,,,,,,,,,,,,,,,
,,3/31/2010,-0.02893073,,,,,,,,,,,,,,,,,
,,12/31/2009,-0.374881596,,,,,,,,,,,,,,,,,
,,9/30/2009,-0.367574654,,,,,,,,,,,,,,,,,
,,6/30/2009,-0.310993014,,,,,,,,,,,,,,,,,
,,3/31/2009,-2.332895842,,,,,,,,,,,,,,,,,
,,12/31/2008,-3.82198685,,,,,,,,,,,,,,,,,
,,9/30/2008,-2.844169495,,,,,,,,,,,,,,,,,
,,6/30/2008,0.079937771,,,,,,,,,,,,,,,,,
,,3/31/2008,0.13559433,,,,,,,,,,,,,,,,,
,,12/31/2007,0.077983848,,,,,,,,,,,,,,,,,
,,9/28/2007,0.349588367,,,,,,,,,,,,,,,,,
,,6/29/2007,0.249599497,,,,,,,,,,,,,,,,,
,,3/30/2007,0.390767965,,,,,,,,,,,,,,,,,
,,12/29/2006,0.307227888,,,,,,,,,,,,,,,,,
,,9/29/2006,0.396659922,,,,,,,,,,,,,,,,,
,,6/30/2006,0.375288962,,,,,,,,,,,,,,,,,
,,3/31/2006,0.332794321,,,,,,,,,,,,,,,,,
,,12/30/2005,0.336401674,,,,,,,,,,,,,,,,,
