CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2012,9,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,1.23,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,1.45,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,1.32,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,1.03,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.95,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,1.65,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,1.44,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,1.08,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.88,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,1.48,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.61,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
