Q_Report_Date,Date,Q_EPS_Diluted,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,3/31/2004,0.117453184,,,,,,,,
,12/31/2003,-0.044044944,,,,,,,,
,9/30/2003,0.190861423,,,,,,,,
,6/30/2003,-0.025692884,,,,,,,,
,3/31/2003,0.03670412,,,,,,,,
,12/31/2002,0.025692884,,,,,,,,
,9/30/2002,0.09543071199999999,,,,,,,,
,6/28/2002,0.0917603,,,,,,,,
,3/28/2002,0.10644194800000001,,,,,,,,
,12/31/2001,0.11011236,,,,,,,,
,9/28/2001,0.07340824,,,,,,,,
,6/29/2001,0.022022472,,,,,,,,
,3/30/2001,0.01835206,,,,,,,,
,12/29/2000,0.132134831,,,,,,,,
,9/29/2000,0.13580524300000002,,,,,,,,
,6/30/2000,0.124794007,,,,,,,,
,3/31/2000,0.11378277199999999,,,,,,,,
,12/31/1999,0.11011236,,,,,,,,
,9/30/1999,0.121123596,,,,,,,,
,6/30/1999,0.09543071199999999,,,,,,,,
,3/31/1999,0.03670412,,,,,,,,
,12/31/1998,0.051385768,,,,,,,,
,9/30/1998,0.044044944,,,,,,,,
,6/30/1998,0.025692884,,,,,,,,
,3/31/1998,0.07340824,,,,,,,,
,12/31/1997,0.07340824,,,,,,,,
,9/30/1997,0.069737828,,,,,,,,
,6/30/1997,0.058726592,,,,,,,,
,3/31/1997,0.025692884,,,,,,,,
,12/31/1996,0.0917603,,,,,,,,
,9/30/1996,0.10644194800000001,,,,,,,,
,6/28/1996,0.102771536,,,,,,,,
,3/29/1996,0.088089888,,,,,,,,
,12/29/1995,0.088089888,,,,,,,,
,9/29/1995,0.077078652,,,,,,,,
,6/30/1995,0.06606741599999999,,,,,,,,
,3/31/1995,0.064761442,,,,,,,,
,12/30/1994,0.071557105,,,,,,,,
