CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,5/18/2017,4/27/2017,0.758049678,,,0.76,,0.63,,0.62,,,,,,,,,,,,,
,2/15/2017,1/26/2017,0.645546373,,,0.66,,0.65,,0.58,,,,,,,,,,,,,
,,10/28/2016,0.558096981,,,0.65,,0.48,,0.39,,,,,,,,,,,,,
,,7/28/2016,0.462031107,,,0.48,,0.37,,0.36,,,,,,,,,,,,,
,,4/28/2016,0.285969616,,,0.32,,0.27,,0.26,,,,,,,,,,,,,
,,1/28/2016,0.247833622,,,0.25,,0.31,,0.34,,,,,,,,,,,,,
,,10/29/2015,0.282352941,,,0.29,,0.34,,0.35,,,,,,,,,,,,,
,,7/30/2015,0.267262388,,,0.33,,0.34,,0.35,,,,,,,,,,,,,
,,4/23/2015,0.293311845,,,0.28,,0.32,,0.33,,,,,,,,,,,,,
,,1/22/2015,0.280645161,,,0.27,,0.31,,0.3,,,,,,,,,,,,,
,,10/23/2014,0.207119741,,,0.27,,0.28,,0.27,,,,,,,,,,,,,
,,7/24/2014,0.244120032,,,0.27,,0.28,,0.31,,,,,,,,,,,,,
,,4/29/2014,0.213181448,,,0.28,,0.27,,0.29,,,,,,,,,,,,,
,,1/23/2014,0.206530612,,,0.22,,0.24,,0.18,,,,,,,,,,,,,
,,10/30/2013,0.149754501,,,0.18,,0.19,,0.19,,,,,,,,,,,,,
,,7/25/2013,0.137704918,,,0.19,,0.13,,,,,,,,,,,,,,,
,,4/25/2013,-0.10723192,,,0.13,,0.1,,0.11,,,,,,,,,,,,,
,,1/24/2013,0.028052805,,,0.03,,0.09,,0.03,,,,,,,,,,,,,
,,10/26/2012,-0.422131148,,,0.03,,,,,,,,,,,,,,,,,
,,7/26/2012,0.17192429,,,0.22,,,,,,,,,,,,,,,,,
,,4/26/2012,0.222136818,,,,,,,,,,,,,,,,,,,,
,,1/26/2012,0.089312977,,,,,,,,,,,,,,,,,,,,
,,10/28/2011,0.342105263,,,,,,,,,,,,,,,,,,,,
,,7/28/2011,0.357894737,,,,,,,,,,,,,,,,,,,,
,,4/28/2011,0.36684171,,,,,,,,,,,,,,,,,,,,
,,1/28/2011,0.379026217,,,,,,,,,,,,,,,,,,,,
,,10/28/2010,0.346985181,,,,,,,,,,,,,,,,,,,,
,,7/29/2010,0.091262804,,,,,,,,,,,,,,,,,,,,
,,4/29/2010,0.195085059,,,,,,,,,,,,,,,,,,,,
,,1/28/2010,0.061481481,,,,,,,,,,,,,,,,,,,,
,,10/29/2009,0.103415296,,,,,,,,,,,,,,,,,,,,
,,7/23/2009,-0.041150458,,,,,,,,,,,,,,,,,,,,
,,4/23/2009,-0.191773251,,,,,,,,,,,,,,,,,,,,
,,1/22/2009,-0.100008802,,,,,,,,,,,,,,,,,,,,
,,10/30/2008,0.17,,,,,,,,,,,,,,,,,,,,
,,7/24/2008,0.12,,,,,,,,,,,,,,,,,,,,
,,4/24/2008,0.22,,,,,,,,,,,,,,,,,,,,
,,1/24/2008,0.19,,,,,,,,,,,,,,,,,,,,
,,10/30/2007,0.3,,,,,,,,,,,,,,,,,,,,
,,7/25/2007,0.34,,,,,,,,,,,,,,,,,,,,
,,4/25/2007,0.29,,,,,,,,,,,,,,,,,,,,
,,1/24/2007,0.29,,,,,,,,,,,,,,,,,,,,
,,10/30/2006,0.3,,,,,,,,,,,,,,,,,,,,
,,7/25/2006,0.33,,,,,,,,,,,,,,,,,,,,
,,4/25/2006,0.26,,,,,,,,,,,,,,,,,,,,
,,1/24/2006,0.09,,,,,,,,,,,,,,,,,,,,
,,10/28/2005,0.15,,,,,,,,,,,,,,,,,,,,
,,7/25/2005,0.23,,,,,,,,,,,,,,,,,,,,
,,4/25/2005,0.18,,,,,,,,,,,,,,,,,,,,
,,1/24/2005,0.17,,,,,,,,,,,,,,,,,,,,
,,10/28/2004,0.24,,,,,,,,,,,,,,,,,,,,
,,7/29/2004,0.26,,,,,,,,,,,,,,,,,,,,
,,4/29/2004,0.22,,,,,,,,,,,,,,,,,,,,
,,1/30/2004,0.05,,,,,,,,,,,,,,,,,,,,
,,10/23/2003,-0.09,,,,,,,,,,,,,,,,,,,,
,,7/24/2003,-0.02,,,,,,,,,,,,,,,,,,,,
,,4/24/2003,-0.04,,,,,,,,,,,,,,,,,,,,
,,1/23/2003,-0.04,,,,,,,,,,,,,,,,,,,,
,,10/24/2002,0.09,,,,,,,,,,,,,,,,,,,,
,,7/25/2002,0.07,,,,,,,,,,,,,,,,,,,,
,,4/25/2002,0.03,,,,,,,,,,,,,,,,,,,,
,,1/24/2002,-0.03,,,,,,,,,,,,,,,,,,,,
,,10/25/2001,-0.175,,,,,,,,,,,,,,,,,,,,
,,7/26/2001,0.015,,,,,,,,,,,,,,,,,,,,
,,4/26/2001,0.135,,,,,,,,,,,,,,,,,,,,
,,1/25/2001,0.33,,,,,,,,,,,,,,,,,,,,
,,10/26/2000,0.39,,,,,,,,,,,,,,,,,,,,
,,7/27/2000,0.35,,,,,,,,,,,,,,,,,,,,
,,4/27/2000,0.27,,,,,,,,,,,,,,,,,,,,
,,1/27/2000,0.2,,,,,,,,,,,,,,,,,,,,
,,10/28/1999,0.2025,,,,,,,,,,,,,,,,,,,,
,,7/29/1999,0.1525,,,,,,,,,,,,,,,,,,,,
,,4/29/1999,0.09,,,,,,,,,,,,,,,,,,,,
,,1/28/1999,0.035,,,,,,,,,,,,,,,,,,,,
,,10/22/1998,-0.1175,,,,,,,,,,,,,,,,,,,,
,,7/23/1998,0.0325,,,,,,,,,,,,,,,,,,,,
,,4/23/1998,0.0925,,,,,,,,,,,,,,,,,,,,
