CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,8/3/2017,6/30/2017,0.173566124,,,0.58,,0.61,,0.55,,,,,,,,,,,,,,
,5/8/2017,3/31/2017,0.081434599,,,0.5,,0.485,,,,,,,,,,,,,,,,
,2/2/2017,12/30/2016,0.181906336,,,0.52,,0.495,,0.475,,,,,,,,,,,,,,
,11/3/2016,9/30/2016,3.729985045,,,0.435,,0.425,,,,,,,,,,,,,,,,
,,6/30/2016,0.353999344,,,0.47,,0.48,,0.49,,0.495,,0.45,,0.54,,,,,,,,
,,3/31/2016,0.283942451,,,0.42,,0.425,,0.415,,0.45,,,,,,,,,,,,
,,12/31/2015,0.359982593,,,0.45,,0.445,,0.435,,0.485,,0.53,,0.54,,0.545,,0.54,,0.535,,
,,9/30/2015,0.168321918,,,0.39,,0.38,,0.395,,0.43,,0.465,,0.47,,0.48,,0.47,,0.48,,0.475
,,6/30/2015,0.279945967,,,0.345,,0.37,,0.455,,0.51,,0.515,,0.52,,0.53,,0.525,,0.49,,
,,3/31/2015,0.108123263,,,0.445,,0.45,,0.455,,0.47,,0.475,,0.46,,0.495,,,,,,
,,12/31/2014,0.302016506,,,0.485,,0.48,,0.485,,0.495,,0.49,,0.48,,0.475,,0.4575,,0.4125,,0.43
,,9/30/2014,0.263004534,,,0.43,,0.425,,0.42,,0.405,,0.385,,0.3525,,0.46,,,,,,
,,6/30/2014,0.359604444,,,0.47,,0.455,,0.4525,,0.435,,0.3925,,0.42,,,,,,,,
,,3/31/2014,0.187895168,,,0.4,,0.375,,0.36,,0.3475,,,,,,,,,,,,
,,12/31/2013,0.224439112,,,0.375,,0.3075,,,,,,,,,,,,,,,,
,,9/30/2013,0.128961905,,,0.325,,0.355,,,,,,,,,,,,,,,,
,,6/28/2013,0.177976974,,,0.355,,0.3325,,,,,,,,,,,,,,,,
,,3/28/2013,0.109226095,,,0.325,,0.315,,0.335,,,,,,,,,,,,,,
,,12/31/2012,0.259006832,,,0.345,,0.305,,,,,,,,,,,,,,,,
,,9/28/2012,0.082439451,,,0.27,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.033863239,,,0.2925,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.147795855,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.202153497,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.149260226,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.122019085,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.153489607,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.159714571,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.093535272,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.224400976,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.056823697,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,0.046130849,,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,0.003829535,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,0.09,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,0.1025,,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,0.0025,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,0.07,,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,0.1275,,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,0.035,,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,0.05,,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,0.0375,,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,0.04,,,,,,,,,,,,,,,,,,,,,
,,3/30/2007,0.02,,,,,,,,,,,,,,,,,,,,,
,,12/29/2006,0.01,,,,,,,,,,,,,,,,,,,,,
,,9/29/2006,0.0375,,,,,,,,,,,,,,,,,,,,,
,,6/30/2006,0.04,,,,,,,,,,,,,,,,,,,,,
,,3/31/2006,0.0375,,,,,,,,,,,,,,,,,,,,,
,,12/30/2005,0.0125,,,,,,,,,,,,,,,,,,,,,
,,9/30/2005,-0.0675,,,,,,,,,,,,,,,,,,,,,
,,6/30/2005,0.025,,,,,,,,,,,,,,,,,,,,,
,,3/31/2005,0.025,,,,,,,,,,,,,,,,,,,,,
,,12/31/2004,0.0525,,,,,,,,,,,,,,,,,,,,,
,,9/30/2004,-0.005,,,,,,,,,,,,,,,,,,,,,
,,6/30/2004,0.04,,,,,,,,,,,,,,,,,,,,,
,,3/31/2004,0.0175,,,,,,,,,,,,,,,,,,,,,
,,12/31/2003,0.045,,,,,,,,,,,,,,,,,,,,,
,,9/30/2003,0.02,,,,,,,,,,,,,,,,,,,,,
,,6/30/2003,0.05625,,,,,,,,,,,,,,,,,,,,,
,,3/31/2003,0.04125,,,,,,,,,,,,,,,,,,,,,
,,12/31/2002,0.03875,,,,,,,,,,,,,,,,,,,,,
,,9/30/2002,0.0325,,,,,,,,,,,,,,,,,,,,,
,,6/28/2002,0.0425,,,,,,,,,,,,,,,,,,,,,
,,3/28/2002,0.025,,,,,,,,,,,,,,,,,,,,,
,,12/31/2001,0.02,,,,,,,,,,,,,,,,,,,,,
,,9/28/2001,0.01,,,,,,,,,,,,,,,,,,,,,
,,6/29/2001,0.02,,,,,,,,,,,,,,,,,,,,,
,,3/30/2001,0.01125,,,,,,,,,,,,,,,,,,,,,
,,12/29/2000,0.01875,,,,,,,,,,,,,,,,,,,,,
