CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,6/30/2015,1.280377222,,,1.16,,1.13,,1.15,,,,,,,,,,
,,3/31/2015,1.096634093,,,0.99,,0.98,,1,,,,,,,,,,
,,12/31/2014,-3.113728377,,,0.9,,0.91,,0.98,,,,,,,,,,
,,9/30/2014,0.701365818,,,0.94,,0.96,,0.95,,,,,,,,,,
,,6/30/2014,1.075506446,,,0.99,,0.97,,0.96,,,,,,,,,,
,,3/31/2014,0.912435614,,,0.88,,0.87,,0.79,,,,,,,,,,
,,12/31/2013,0.63239645,,,0.78,,0.79,,0.78,,,,,,,,,,
,,9/30/2013,0.788123167,,,0.77,,0.75,,0.81,,,,,,,,,,
,,6/28/2013,0.925993438,,,0.82,,0.81,,0.72,,,,,,,,,,
,,3/28/2013,2.620320856,,,0.73,,0.59,,0.58,,,,,,,,,,
,,12/31/2012,-0.777258006,,,0.72,,1.3,,,,,,,,,,,,
,,9/28/2012,1.123071403,,,1.29,,,,,,,,,,,,,,
,,6/29/2012,0.772255989,,,0.76,,,,,,,,,,,,,,
,,3/30/2012,0.442446043,,,,,,,,,,,,,,,,,
,,12/30/2011,0.719463087,,,,,,,,,,,,,,,,,
,,9/30/2011,1.227333781,,,,,,,,,,,,,,,,,
,,6/30/2011,0.695322793,,,,,,,,,,,,,,,,,
,,3/31/2011,0.393184797,,,,,,,,,,,,,,,,,
,,12/31/2010,0.497263874,,,,,,,,,,,,,,,,,
,,9/30/2010,1.23620812,,,,,,,,,,,,,,,,,
,,6/30/2010,0.61407455,,,,,,,,,,,,,,,,,
,,3/31/2010,0.329610721,,,,,,,,,,,,,,,,,
,,12/31/2009,0.535815747,,,,,,,,,,,,,,,,,
,,9/30/2009,1.075655021,,,,,,,,,,,,,,,,,
,,6/30/2009,0.52555841,,,,,,,,,,,,,,,,,
,,3/31/2009,0.201924895,,,,,,,,,,,,,,,,,
,,12/31/2008,0.37,,,,,,,,,,,,,,,,,
,,9/30/2008,1.23,,,,,,,,,,,,,,,,,
,,6/30/2008,0.66,,,,,,,,,,,,,,,,,
,,3/31/2008,0.25,,,,,,,,,,,,,,,,,
,,12/31/2007,0.43,,,,,,,,,,,,,,,,,
,,9/28/2007,1.34,,,,,,,,,,,,,,,,,
,,6/29/2007,0.79,,,,,,,,,,,,,,,,,
,,3/30/2007,0.4,,,,,,,,,,,,,,,,,
,,12/29/2006,0.56,,,,,,,,,,,,,,,,,
,,9/29/2006,1.06,,,,,,,,,,,,,,,,,
,,6/30/2006,0.6,,,,,,,,,,,,,,,,,
,,3/31/2006,0.2,,,,,,,,,,,,,,,,,
,,12/30/2005,0.5,,,,,,,,,,,,,,,,,
,,9/30/2005,1,,,,,,,,,,,,,,,,,
,,6/30/2005,0.51,,,,,,,,,,,,,,,,,
,,3/31/2005,0.2,,,,,,,,,,,,,,,,,
,,12/31/2004,0.49,,,,,,,,,,,,,,,,,
,,9/30/2004,0.845,,,,,,,,,,,,,,,,,
,,6/30/2004,0.43,,,,,,,,,,,,,,,,,
,,3/31/2004,0.195,,,,,,,,,,,,,,,,,
,,12/31/2003,0.415,,,,,,,,,,,,,,,,,
,,9/30/2003,0.755,,,,,,,,,,,,,,,,,
,,6/30/2003,0.37,,,,,,,,,,,,,,,,,
,,3/31/2003,0.25,,,,,,,,,,,,,,,,,
,,12/31/2002,0.335,,,,,,,,,,,,,,,,,
,,9/30/2002,0.71,,,,,,,,,,,,,,,,,
,,6/28/2002,0.35,,,,,,,,,,,,,,,,,
,,3/28/2002,0.075,,,,,,,,,,,,,,,,,
,,12/31/2001,-0.005,,,,,,,,,,,,,,,,,
,,9/28/2001,0.61,,,,,,,,,,,,,,,,,
,,6/29/2001,0.305,,,,,,,,,,,,,,,,,
,,3/30/2001,0.05,,,,,,,,,,,,,,,,,
,,12/29/2000,0.055,,,,,,,,,,,,,,,,,
,,9/29/2000,0.555,,,,,,,,,,,,,,,,,
,,6/30/2000,0.275,,,,,,,,,,,,,,,,,
,,3/31/2000,0.145,,,,,,,,,,,,,,,,,
,,12/31/1999,0.295,,,,,,,,,,,,,,,,,
,,9/30/1999,0.48,,,,,,,,,,,,,,,,,
,,6/30/1999,0.225,,,,,,,,,,,,,,,,,
,,3/31/1999,0.06,,,,,,,,,,,,,,,,,
,,12/31/1998,0.185,,,,,,,,,,,,,,,,,
,,9/30/1998,0.405,,,,,,,,,,,,,,,,,
,,6/30/1998,0.195,,,,,,,,,,,,,,,,,
,,3/31/1998,0.05,,,,,,,,,,,,,,,,,
,,12/31/1997,0.1775,,,,,,,,,,,,,,,,,
,,9/30/1997,0.36,,,,,,,,,,,,,,,,,
,,6/30/1997,0.1625,,,,,,,,,,,,,,,,,
,,3/31/1997,0.0375,,,,,,,,,,,,,,,,,
,,12/31/1996,0.7725,,,,,,,,,,,,,,,,,
,,9/30/1996,0.2875,,,,,,,,,,,,,,,,,
,,6/28/1996,0.1425,,,,,,,,,,,,,,,,,
,,3/29/1996,0.04,,,,,,,,,,,,,,,,,
,,12/29/1995,0.14,,,,,,,,,,,,,,,,,
,,9/29/1995,0.265,,,,,,,,,,,,,,,,,
,,6/30/1995,0.1325,,,,,,,,,,,,,,,,,
,,3/31/1995,0.035,,,,,,,,,,,,,,,,,
,,12/30/1994,0.1275,,,,,,,,,,,,,,,,,
,,9/30/1994,0.2275,,,,,,,,,,,,,,,,,
,,6/30/1994,0.12125,,,,,,,,,,,,,,,,,
