CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,12/30/2011,0.278345129,,,,,,,,,,,,,,,
,,9/29/2011,0.200608336,,,,,,,,,,,,,,,
,,6/30/2011,0.18,,,,,,,,,,,,,,,
,,3/31/2011,0.21,,,,,,,,,,,,,,,
,,12/31/2010,0.29,,,,,,,,,,,,,,,
,,9/30/2010,0.19,,,,,,,,,,,,,,,
,,6/30/2010,0.16,,,,,,,,,,,,,,,
,,3/31/2010,0.13,,,,,,,,,,,,,,,
,,12/31/2009,0.21,,,,,,,,,,,,,,,
,,9/30/2009,0.28,,,,,,,,,,,,,,,
,,6/30/2009,0.21,,,,,,,,,,,,,,,
,,3/31/2009,0.14,,,,,,,,,,,,,,,
,,12/31/2008,0.37,,,,,,,,,,,,,,,
