CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/25/2023,6/30/2023,0.17,0.17,,0.16,,0.17,,0.22,,0.22,,0.23,,0.26,,0.26,,0.26,,0.24,,0.24,,0.24,,0.24,,0.24,,0.24,,0.24,,,,0.19,,0.22,,0.22,,0.22,,0.24,,0.24,,0.24,,0.28,,0.28,,0.28,,0.24,,0.24,,,,,,,,,,,,,,,
,4/27/2023,3/30/2023,0.16,0.16,,0.21,,0.21,,0.25,,0.25,,0.25,,0.23,,0.23,,0.23,,0.22,,0.22,,0.22,,0.22,,,,0.17,,0.18,,0.18,,0.18,,0.2,,0.2,,0.2,,0.25,,0.25,,0.25,,0.3,,0.3,,,,,,,,,,,,,,,,,,,,,
,1/26/2023,12/31/2022,0.21,0.21,,0.28,,0.28,,0.28,,0.24,,0.24,,0.24,,0.24,,0.23,,0.23,,0.22,,0.22,3/22/2022,0.22,2/21/2022,0.24,1/19/2022,0.24,12/14/2021,0.24,11/7/2021,0.26,10/17/2021,0.26,9/1/2021,0.26,7/31/2021,0.28,6/24/2021,0.28,5/25/2021,0.28,4/27/2021,0.21,4/12/2021,0.21,4/11/2021,,,,,,,,,,,,,,,,,,,,,,,,
,10/26/2022,9/30/2022,0.3,0.3,,0.23,,0.23,,0.23,,0.23,,0.22,,0.22,,0.21,,0.21,,0.21,,0.24,,0.24,,0.24,,0.27,,0.27,,0.27,,0.28,,0.28,,0.28,,0.21,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/26/2022,6/30/2022,0.21,0.21,,0.22,,0.21,,0.21,,0.19,,0.19,,0.19,,0.22,,0.22,,0.22,,0.24,,0.24,,0.24,,0.28,,0.28,,0.28,,0.24,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/28/2022,3/30/2022,0.25,0.25,,0.17,,0.17,,0.17,,0.18,,0.18,,0.18,,0.2,,0.2,,0.2,,0.25,,0.25,,0.25,,0.3,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/27/2022,12/31/2021,0.25,0.25,,0.22,,0.22,,0.22,,0.24,,0.24,,0.24,,0.25,,0.25,,0.22,,0.21,4/12/2021,0.21,4/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/26/2021,9/30/2021,0.24,0.24,,0.23,,0.23,,0.23,,0.28,,0.28,,0.22,,0.21,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/27/2021,6/30/2021,0.27,0.27,,0.33,,0.33,,0.25,,0.24,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/27/2021,3/31/2021,0.37,0.37,,0.3,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/28/2021,12/31/2020,0.33,0.33,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/27/2020,9/30/2020,0.22,0.22,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/23/2020,6/30/2020,0.19,0.19,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/27/2020,3/31/2020,0.09,0.09,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/27/2020,12/31/2019,0.08,0.07,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/18/2019,9/30/2019,0.13,0.13,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/25/2019,6/28/2019,0.08,0.08,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/18/2019,3/29/2019,0.04,0.04,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2018,0.01,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/25/2018,9/28/2018,0.1,0.11,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/20/2018,6/29/2018,0.05,0.06,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/19/2018,3/29/2018,0.04,0.04,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/26/2018,12/29/2017,0.04,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/19/2017,9/29/2017,0.04,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/27/2017,6/30/2017,0.04,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/20/2017,3/31/2017,0.03,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
