CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,,,,,,,,,,,,,,,,
,1/28/2020,12/31/2019,1.53,1.53,,1.51,,1.51,,1.52,,1.54,1.56,1.53,1.54,1.55,1.56,1.54,1.41,,,,,,,,,,,,,,,,
,10/22/2019,9/30/2019,1.750864055,1.75,,1.65,,1.64,,1.6,1.54,1.53,1.52,1.41,,,,,,,,,,,,,,,,,,,,,
,7/23/2019,6/28/2019,1.782283578,1.78,,1.81,,1.8,,1.7,1.69,1.63,1.45,1.44,,,,,,,,,,,,,,,,,,,,,
,4/30/2019,3/29/2019,1.808510638,1.81,,1.65,,1.64,,1.56,1.43,1.41,,,,,,,,,,,,,,,,,,,,,,,
,1/29/2019,12/31/2018,1.653604119,,,1.53,,1.43,,1.42,1.13,1.03,,,,,,,,,,,,,,,,,,,,,,,
,10/23/2018,9/28/2018,1.551351351,,,1.51,,1.41,,1.21,1.06,,,,,,,,,,,,,,,,,,,,,,,,
,7/24/2018,6/29/2018,1.58751773,,,1.42,,1.43,,1.19,1.09,,,,,,,,,,,,,,,,,,,,,,,,
,4/24/2018,3/29/2018,1.448656294,,,1.31,,1.08,,1.02,,,,,,,,,,,,,,,,,,,,,,,,,
,1/30/2018,12/29/2017,1.66817667,,,1.12,,1.02,,0.91,0.9,0.86,0.85,0.9,0.95,,,,,,,,,,,,,,,,,,,,
,10/24/2017,9/29/2017,1.141116464,,,1.08,,0.93,,0.91,0.89,0.93,0.99,0.93,,,,,,,,,,,,,,,,,,,,,
,7/25/2017,6/30/2017,1.057555997,,,0.99,,0.97,,0.94,0.91,0.96,1,0.87,,,,,,,,,,,,,,,,,,,,,
,4/25/2017,3/31/2017,0.879784519,,,0.87,,0.85,,0.84,0.9,0.96,,,,,,,,,,,,,,,,,,,,,,,
,1/31/2017,12/30/2016,0.820687695,,,0.86,,0.87,,0.94,0.95,0.96,1.07,1.16,1.23,1.22,,,,,,,,,,,,,,,,,,,
,10/25/2016,9/30/2016,0.984081865,,,1,,0.99,,1,1.01,1.1,1.11,1.12,1.18,1.2,1.19,,,,,,,,,,,,,,,,,,
,7/26/2017,6/30/2016,1.368885097,,,1.02,,1,,1.01,1.02,1.03,1.15,1.2,1.27,1.19,,,,,,,,,,,,,,,,,,,
,4/26/2016,3/31/2016,-1.692570453,,,0.96,,0.95,,0.96,1.04,1.1,1.14,1.12,1.11,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.981068098,,,1.02,,1.04,,1.06,1.21,1.23,1.18,1.15,1.14,1.12,1.08,1.09,1.08,,,,,,,,,,,,,,,,
,,9/30/2015,1.211576285,,,1.16,,1.15,,1.14,1.12,1.11,1.1,1.09,1.03,1.04,,,,,,,,,,,,,,,,,,,
,,6/30/2015,1.255122088,,,1.15,,1.14,,1.09,1.08,1.07,1.03,1.04,1.01,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,1.062622859,,,1.01,,1.02,,1.01,1,0.93,0.95,0.94,1.02,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,1.108206858,,,1.09,,1.01,,1.02,1.01,0.99,1,0.99,0.95,0.96,,,,,,,,,,,,,,,,,,,
,,9/30/2014,1.042380017,,,0.96,,0.95,,0.96,0.95,0.89,0.89,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.895874263,,,0.89,,0.9,,0.94,0.92,0.91,0.93,0.94,0.86,0.75,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.769382022,,,0.76,,0.8,,0.81,0.82,0.92,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.939820022,,,0.93,,0.92,,0.91,0.85,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.870568374,,,0.85,,0.81,,0.82,0.75,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.821408451,,,0.75,,0.76,,0.77,0.68,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.665445321,,,0.68,,0.69,,0.71,0.7,0.71,0.68,,,,,,,,,,,,,,,,,,,,,,
,,12/28/2012,0.715495343,,,0.68,,0.69,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.659328253,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.832959641,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.914756847,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.912559176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.773201538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.652777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.526416122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.463681049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.327506146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.272131148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.186765108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,0.098931214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,0.03573392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,0.100440286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,0.072431837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2007,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2006,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2006,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2006,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2006,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2005,0.782222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2005,0.791111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2005,0.617777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2005,0.693333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2004,0.608888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2004,0.626666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2004,0.595555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2004,0.457777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2003,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2003,0.334814815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2003,0.314074074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2003,0.281481481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2002,0.314074074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2002,0.328888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2002,0.186666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2002,0.120481928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2001,0.132332609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2001,0.100730792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2001,0.100730792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2001,0.114556587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2000,0.163934426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2000,0.238988742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2000,0.33774442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2000,0.391072487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1999,0.444400553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1999,0.361445783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1999,0.349595102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1999,0.300217262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1998,0.288366581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1998,0.242938969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1998,0.262690105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1998,0.252814537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1997,0.33774442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1997,0.209362038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1997,0.181710448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1997,0.147160494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1996,0.159012346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1996,0.129382716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/1996,0.131358025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/1996,0.090864198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/1995,0.164938272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/1995,0.17382716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1995,0.164938272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1995,0.138271605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/1994,0.145185185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1994,0.135308642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1994,0.128395062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
