CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,,,,,,,,,,,,,,,,,,,
,,9/30/2013,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2012,-4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2007,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2006,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2006,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2006,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2006,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2005,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2005,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2005,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2005,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2004,0.618032787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2004,0.427868852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2004,0.541967213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2004,0.827213115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2003,0.656065574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2003,0.560983607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2003,0.446885246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2003,0.656065574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2002,0.701736092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2002,0.180655738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2002,-0.047540984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2002,0.408852459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2001,0.127035743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2001,-0.52295082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
