CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,
,,6/28/2013,0.906957929,,0.96,,0.79,,,,,,,,,,
,,3/28/2013,0.770346495,,0.79,,0.74,,1.1,,,,,,,,
,,12/31/2012,0.903923139,,1.1,,0.84,,,,,,,,,,
,,9/28/2012,0.789638932,,0.84,,,,,,,,,,,,
,,6/29/2012,0.750582751,,0.79,,,,,,,,,,,,
,,3/30/2012,0.592818946,,nan,,,,,,,,,,,,
,,12/30/2011,0.81221374,,nan,,,,,,,,,,,,
,,9/30/2011,0.647761194,,nan,,,,,,,,,,,,
,,6/30/2011,0.598240469,,nan,,,,,,,,,,,,
,,3/31/2011,0.520058352,,nan,,,,,,,,,,,,
,,12/31/2010,0.747813411,,nan,,,,,,,,,,,,
,,9/30/2010,0.591374269,,nan,,,,,,,,,,,,
,,6/30/2010,0.599707816,,nan,,,,,,,,,,,,
,,3/31/2010,0.552292264,,nan,,,,,,,,,,,,
,,12/31/2009,0.742958245,,nan,,,,,,,,,,,,
,,9/30/2009,0.706712803,,nan,,,,,,,,,,,,
,,6/30/2009,0.602241848,,nan,,,,,,,,,,,,
,,3/31/2009,0.502654867,,nan,,,,,,,,,,,,
,,12/31/2008,0.647102931,,nan,,,,,,,,,,,,
,,9/26/2008,0.498401034,,nan,,,,,,,,,,,,
,,6/30/2008,0.53,,nan,,,,,,,,,,,,
,,3/31/2008,0.51,,nan,,,,,,,,,,,,
,,12/31/2007,0.55,,nan,,,,,,,,,,,,
,,9/28/2007,0.45,,nan,,,,,,,,,,,,
,,6/29/2007,0.47,,nan,,,,,,,,,,,,
,,3/30/2007,0.43,,nan,,,,,,,,,,,,
,,12/29/2006,0.48,,nan,,,,,,,,,,,,
,,9/29/2006,0.33,,nan,,,,,,,,,,,,
,,6/30/2006,0.4,,nan,,,,,,,,,,,,
,,3/31/2006,0.39,,nan,,,,,,,,,,,,
,,12/30/2005,0.48,,nan,,,,,,,,,,,,
,,9/30/2005,0.3,,nan,,,,,,,,,,,,
,,6/30/2005,0.33,,nan,,,,,,,,,,,,
,,3/31/2005,0.34,,nan,,,,,,,,,,,,
,,12/31/2004,0.315,,nan,,,,,,,,,,,,
,,10/1/2004,0.22,,nan,,,,,,,,,,,,
,,7/2/2004,0.28,,nan,,,,,,,,,,,,
,,4/2/2004,0.295,,nan,,,,,,,,,,,,
,,1/2/2004,0.32,,nan,,,,,,,,,,,,
,,9/26/2003,0.23,,nan,,,,,,,,,,,,
,,6/27/2003,0.245,,nan,,,,,,,,,,,,
,,3/28/2003,0.24,,nan,,,,,,,,,,,,
,,12/27/2002,0.245,,nan,,,,,,,,,,,,
,,9/27/2002,0.2,,nan,,,,,,,,,,,,
,,6/28/2002,0.215,,nan,,,,,,,,,,,,
,,3/28/2002,0.215,,nan,,,,,,,,,,,,
,,12/28/2001,-0.16,,nan,,,,,,,,,,,,
,,9/28/2001,0.15,,nan,,,,,,,,,,,,
,,6/29/2001,0.24,,nan,,,,,,,,,,,,
,,3/30/2001,0.27,,nan,,,,,,,,,,,,
,,12/29/2000,0.26,,nan,,,,,,,,,,,,
,,9/29/2000,0.195,,nan,,,,,,,,,,,,
,,6/30/2000,0.23,,nan,,,,,,,,,,,,
,,3/31/2000,0.235,,nan,,,,,,,,,,,,
,,12/31/1999,0.22,,nan,,,,,,,,,,,,
,,9/24/1999,0.15,,nan,,,,,,,,,,,,
,,6/25/1999,0.2,,nan,,,,,,,,,,,,
,,3/26/1999,0.2,,nan,,,,,,,,,,,,
,,12/31/1998,0.17,,nan,,,,,,,,,,,,
,,9/25/1998,0.125,,nan,,,,,,,,,,,,
,,6/26/1998,0.015,,nan,,,,,,,,,,,,
,,3/27/1998,0.1675,,nan,,,,,,,,,,,,
,,12/31/1997,0.195,,nan,,,,,,,,,,,,
,,9/26/1997,0.1025,,nan,,,,,,,,,,,,
,,6/27/1997,-0.3425,,nan,,,,,,,,,,,,
,,3/27/1997,0.1275,,nan,,,,,,,,,,,,
,,12/31/1996,0.13,,nan,,,,,,,,,,,,
,,9/27/1996,0.1425,,nan,,,,,,,,,,,,
,,6/28/1996,-0.155,,nan,,,,,,,,,,,,
,,3/29/1996,0.025,,nan,,,,,,,,,,,,
,,12/29/1995,-1.5775,,nan,,,,,,,,,,,,
,,9/29/1995,-0.015,,nan,,,,,,,,,,,,
,,6/30/1995,0.0625,,nan,,,,,,,,,,,,
,,3/31/1995,-0.0725,,nan,,,,,,,,,,,,
,,12/30/1994,0.49,,nan,,,,,,,,,,,,
,,9/30/1994,0.1125,,nan,,,,,,,,,,,,
,,6/30/1994,0.0975,,nan,,,,,,,,,,,,
