CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,1.646596859,,1.68,,1.74,,1.75,,1.76,,1.75,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,1.876963351,,1.84,,1.7,,1.71,,1.43,,,,,,,,,,,,,,,,,,,,,,,,
,,12/28/2012,1.01285347,,1.39,,1.48,,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,1.413793103,,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,1.612738854,,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,1.48,,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.983157895,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.496717724,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,1.251336898,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,1.195536663,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,1.059067358,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,1.284823285,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,1.246887967,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,1.181174089,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,0.911851126,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,1.357492654,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,1.247787611,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,0.982642237,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,0.893953488,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,1.089369708,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,0.870490287,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,1.04029304,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,0.743544078,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,0.18,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,0.9,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2007,0.94,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2006,0.71,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2006,0.94,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2006,0.01,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2006,0.82,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2005,0.66,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2005,0.77,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2005,0.82,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2005,0.67,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2004,0.52,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2004,0.18,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2004,0.57,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2004,0.52,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2003,0.4,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2003,0.46,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2003,0.45,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2003,0.37,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2002,0.43,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2002,-2.1,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2002,0.38,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2002,0.32,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2001,0.15,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2001,0.3,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2001,0.3,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2001,0.28,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2000,0.2,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2000,0.33,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2000,0.28,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2000,0.25,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1999,0.26,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1999,0.28,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1999,0.25,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1999,0.23,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1998,0.23,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1998,0.2075,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1998,0.205,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1998,0.1775,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1997,0.1525,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1997,0.0775,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1997,0.18,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1997,0.1625,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/1996,0.1575,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1996,0.16,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/1996,0.16,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/1996,0.1275,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/1995,0.1175,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/1995,0.1275,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1995,0.1225,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/1995,0.195,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/1994,0.00125,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/1994,0.1025,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/1994,0.09625,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
