CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,11/5/2020,9/30/2020,1.53,1.65,,1.46,,1.46,,1.33,,,,,,,,,,
,8/6/2020,6/30/2020,1.14,1.46,,1.2,,1.22,,1.46,,,,,,,,,,
,5/7/2020,3/31/2020,1.47,1.43,,1.38,,1.45,,1.45,,,,,,,,,,
,2/20/2020,12/31/2019,1.29,1.51,,1.45,,1.42,,1.45,,,,,,,,,,
,11/7/2019,9/30/2019,1.16,1.39,,1.34,,1.31,,1.31,,,,,,,,,,
,8/8/2019,6/28/2019,1.020186066,1.28,,1.23,,1.22,,1.2,,,,,,,,,,
,5/9/2019,3/29/2019,1.061464812,1.25,,1.17,,1.18,,1.2,,,,,,,,,,
,2/14/2019,12/31/2018,1.054107265,1.27,,1.23,,1.22,,1.2,,,,,,,,,,
,11/1/2018,9/28/2018,1.151940733,1.17,,1.05,,1.08,,1.06,,,,,,,,,,
,8/2/2018,6/29/2018,0.888101507,1.01,,0.99,,0.97,,0.98,,,,,,,,,,
,5/9/2018,3/29/2018,1.145392152,0.93,,0.91,,,,,,,,,,,,,,
,2/16/2018,12/29/2017,-0.583861268,,,0.97,,0.94,,0.97,,,,,,,,,,
,11/2/2017,9/29/2017,0.771949519,,,0.85,,0.88,,0.91,,,,,,,,,,
,8/3/2017,6/30/2017,0.68113696,,,0.81,,0.83,,0.89,,,,,,,,,,
,5/4/2017,3/31/2017,0.438698065,,,0.74,,0.75,,0.76,,,,,,,,,,
,,12/30/2016,0.463900337,,,0.79,,0.8,,0.87,,,,,,,,,,
,,9/30/2016,0.485927521,,,0.75,,0.8,,0.83,,,,,,,,,,
,,6/30/2016,0.458598487,,,0.72,,0.73,,0.77,,,,,,,,,,
,,3/31/2016,0.451733071,,,0.72,,0.71,,,,,,,,,,,,
,,12/31/2015,0.524738941,,,0.73,,0.74,,0.7,,,,,,,,,,
,,9/30/2015,0.436974629,,,0.68,,0.69,,0.65,,,,,,,,,,
,,6/30/2015,0.370418167,,,0.64,,0.62,,,,,,,,,,,,
,,3/31/2015,0.288509804,,,0.54,,0.6,,,,,,,,,,,,
,,12/31/2014,0.365978665,,,0.61,,,,,,,,,,,,,,
,,9/30/2014,0.382106805,,,0.54,,,,,,,,,,,,,,
,,6/30/2014,0.298916443,,,0.48,,,,,,,,,,,,,,
,,3/31/2014,0.352876623,,,0.41,,,,,,,,,,,,,,
,,12/31/2013,0.382321771,,,0.46,,,,,,,,,,,,,,
,,9/30/2013,0.337376847,,,,,,,,,,,,,,,,,
,,6/28/2013,0.294266002,,,,,,,,,,,,,,,,,
,,3/28/2013,0.266129371,,,,,,,,,,,,,,,,,
,,12/31/2012,0.321839327,,,,,,,,,,,,,,,,,
,,9/28/2012,0.302466614,,,,,,,,,,,,,,,,,
,,6/29/2012,0.287201932,,,,,,,,,,,,,,,,,
,,3/30/2012,0.263980917,,,,,,,,,,,,,,,,,
,,12/30/2011,0.265253411,,,,,,,,,,,,,,,,,
,,9/30/2011,0.296669249,,,,,,,,,,,,,,,,,
,,6/30/2011,-0.34453202,,,,,,,,,,,,,,,,,
,,3/31/2011,0.168309169,,,,,,,,,,,,,,,,,
