CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/21/2023,6/30/2023,0.909589041,0.952054795,,6.91,,7.4,,7.4,,8.71,,8.71,,8.71,,8.71,,8.22,,8.22,,8.22,,8.71,,8.71,,8.71,,,,7.47,,7.47,,7.47,,7.47,,7.47,,7.61,,7.61,,8.69,,8.69,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/18/2023,3/31/2023,0.77260274,0.810958904,,6.14,,7.81,,7.81,,7.81,,7.81,,8.71,,8.71,,8.71,,8.04,,8.04,,8.04,,,,7.54,,7.54,,7.54,,7.54,,7.54,,8.19,,8.19,,8.67,,8.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/9/2023,12/30/2022,0.736986301,0.780821918,,3.41,,3.41,,3.41,,6.8,,6.8,,6.8,,7.26,,7.26,,7.37,,7.21,,8.21,3/12/2022,8.21,2/28/2022,8.21,1/21/2022,8.21,12/21/2021,8.21,11/20/2021,7.59,10/10/2021,7.59,9/9/2021,8.76,9/8/2021,8.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/13/2022,9/30/2022,0.846575342,0.887671233,,6.54,,6.54,,6.28,,6.96,,6.96,,7.2,,6.26,,7.44,,7.44,,7.44,,7.44,,7.44,,7.59,,7.59,,8.35,,8.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/19/2022,6/30/2022,0.838356164,0.879452055,,6.63,,6.63,,7.28,,7.82,,7.47,,7.47,,7.47,,7.47,,7.47,,7.61,,7.61,,8.69,,8.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/24/2022,3/31/2022,1.008219178,1.052054795,,8.07,,7.54,,7.54,,7.54,,7.54,,7.54,,8.19,,8.19,,8.67,,8.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/10/2022,12/31/2021,1.126027397,1.175342466,,7.6,,7.6,,7.6,,7.6,,6.97,,6.97,,6.26,,6.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/15/2021,9/30/2021,1.334246575,1.393150685,,8.57,,8.57,,6.94,,6.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/19/2021,6/30/2021,1.317808219,1.373972603,,7.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/27/2021,3/31/2021,1.156164384,1.206849315,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/15/2021,12/31/2020,1.057534247,1.150684932,,6.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/19/2020,9/30/2020,1.093150685,1.142465753,,5.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/23/2020,6/30/2020,0.789041096,0.847945205,,5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/28/2020,3/31/2020,0.167123288,0.230136986,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2019,0.391780822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2019,0.671232877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2019,0.557534247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/2019,0.657534247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2018,0.542465753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2018,-3.482191781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2018,-0.197260274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/2018,0.224657534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2017,0.205479452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
