CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,,
,11/5/2019,9/30/2019,0.19,0.18,,0.19,,,,,,,,,,,,,,,,,,,,
,8/8/2019,6/28/2019,0.19,0.18,,0.19,,,,,,,,,,,,,,,,,,,,
,4/30/2019,3/29/2019,0.09,0.02,,0.09,,,,,,,,,,,,,,,,,,,,
,3/6/2019,12/31/2018,0.24,0.24,,0.24,,,,,,,,,,,,,,,,,,,,
,10/30/2018,9/28/2018,0.23,0.23,,0.23,,,,,,,,,,,,,,,,,,,,
,8/7/2018,6/29/2018,0.19,0.19,,0.19,,,,,,,,,,,,,,,,,,,,
,5/1/2018,3/29/2018,0.15,0.15,,0.15,,,,,,,,,,,,,,,,,,,,
,3/6/2018,12/29/2017,0.52,,,0.52,,,,,,,,,,,,,,,,,,,,
,10/31/2017,9/29/2017,0.19,,,0.19,,,,,,,,,,,,,,,,,,,,
,8/9/2017,6/30/2017,0.13,,,0.13,,,,,,,,,,,,,,,,,,,,
,5/2/2017,3/31/2017,-0.01,,,-0.01,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.07,,,0.07,,,,,,,,,,,,,,,,,,,,
,,9/30/2016,0.12,,,0.12,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.04,,,0.04,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.09,,,0.09,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.04,,,0.04,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,-0.09,,,-0.09,,,,,,,,,,,,,,,,,,,,
,,12/30/2014,0.18,,,0.18,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.15,,,0.15,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.06,,,0.06,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,-0.18,,,-0.18,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.03,,,0.03,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.1,,,0.1,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,-0.04,,,-0.04,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,-0.04,,,-0.04,,,,,,,,,,,,,,,,,,,,
,,12/28/2012,0.11,,,0.11,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.15,,,0.15,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.1,,,0.1,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.04,,,0.04,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.19,,,0.19,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.24,,,0.24,,,,,,,,,,,,,,,,,,,,
,,6/20/2011,0.18,,,0.18,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.12,,,0.12,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,0.17,,,0.17,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.28,,,0.28,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.2,,,0.2,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,0.03,,,0.03,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,0.27,,,0.27,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,0.23,,,0.23,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,0.05,,,0.05,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,
