CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,
,1/23/2018,11/30/2017,0.027027129,,0.11,,0.12,,0.18,,0.17,,0.18,,0.16,,,,,,,,,,,,,,
,10/24/2017,8/31/2017,1.001002924,,1.02,,1.06,,1.03,,1,,0.99,,,,,,,,,,,,,,,,
,7/25/2017,5/31/2017,0.347636091,,0.38,,0.33,,0.36,,0.37,,0.35,,0.32,,,,,,,,,,,,,,
,4/24/2017,2/28/2017,0.420287562,,0.41,,0.4,,0.41,,0.36,,,,,,,,,,,,,,,,,,
,1/17/2017,11/30/2016,0.065625458,,0.08,,0.02,,-0.01,,,,,,,,,,,,,,,,,,,,
,10/25/2016,8/31/2016,0.893761798,,0.9,,0.92,,0.94,,0.9,,0.89,,,,,,,,,,,,,,,,
,,5/31/2016,0.266707093,,0.28,,0.27,,0.35,,0.28,,0.32,,0.3,,0.28,,,,,,,,,,,,
,,2/29/2016,0.309044711,,0.28,,0.27,,0.29,,0.32,,0.3,,-0.01,,,,,,,,,,,,,,
,,11/30/2015,0.03738052,,0.04,,-0.03,,-0.01,,0.03,,0.09,,0.06,,,,,,,,,,,,,,
,,8/31/2015,0.818693046,,0.74,,0.78,,0.81,,0.79,,0.8,,0.99,,,,,,,,,,,,,,
,,5/29/2015,0.225013485,,0.21,,0.25,,0.23,,0.3,,0.29,,0.3,,0.33,,0.35,,0.32,,,,,,,,
,,2/27/2015,0.261144571,,0.22,,0.27,,0.26,,0.27,,0.28,,0.05,,,,,,,,,,,,,,
,,11/28/2014,0.015184735,,0.07,,0.08,,0.07,,0.08,,0.04,,-0.01,,0.28,,0.82,,,,,,,,,,
,,8/29/2014,0.708638464,,0.86,,0.87,,0.95,,0.97,,0.96,,-0.01,,0.2,,0.25,,,,,,,,,,
,,5/30/2014,0.27091651,,0.24,,0.23,,0.22,,0.24,,0.25,,0.26,,0.21,,0.25,,,,,,,,,,
,,2/28/2014,0.265692505,,0.23,,0.24,,0.22,,0.26,,-0.02,,-0.03,,,,,,,,,,,,,,
,,11/29/2013,0.027026425,,-0.02,,-0.03,,0,,0.78,,0.78,,,,,,,,,,,,,,,,
,,8/30/2013,0.805023685,,0.76,,0.79,,0.78,,0.77,,0.15,,,,,,,,,,,,,,,,
,,5/31/2013,0.178589986,,0.16,,0.13,,0.11,,,,,,,,,,,,,,,,,,,,
,,2/28/2013,0.176886843,,0.12,,0.14,,0.17,,-0.04,,,,,,,,,,,,,,,,,,
,,11/30/2012,-0.099847605,,-0.05,,-0.04,,-0.01,,0.71,,,,,,,,,,,,,,,,,,
,,8/31/2012,0.609552898,,0.71,,0.11,,,,,,,,,,,,,,,,,,,,,,
,,5/31/2012,0.103479615,,0.11,,0.16,,,,,,,,,,,,,,,,,,,,,,
,,2/28/2012,0.14280865,,0.16,,,,,,,,,,,,,,,,,,,,,,,,
,,11/30/2011,0.021108242,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,8/31/2011,0.579617768,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,5/31/2011,0.091410156,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,2/28/2011,0.148969503,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,11/30/2010,0.01,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,8/31/2010,0.4,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,5/28/2010,0.04,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,2/26/2010,0.09,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,11/30/2009,0.01,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,8/31/2009,0.37,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,5/29/2009,0.02,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,2/27/2009,0.07,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,11/28/2008,0.02,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,8/29/2008,0.29,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,5/30/2008,0.01,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,2/28/2008,0.07,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,11/30/2007,0.01,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,8/31/2007,0.22,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,5/31/2007,-0.01,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,2/28/2007,0.06,,nan,,,,,,,,,,,,,,,,,,,,,,,,
