Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,,,,,,
3/31/2015,-0.810371409,,-0.86,,-0.9,,-0.79,-0.71,-0.67,-0.62,1.2,,,,,,
12/31/2014,0.972352779,,1.04,,1.2,,1.24,1.26,1.3,1.35,1.37,1.42,1.39,1.27,1.19,1.32,
9/30/2014,-5.26933259,,1.32,,1.33,,1.35,1.36,1.41,1.44,1.47,1.44,1.33,1.21,0.93,,
6/30/2014,0.981404123,,0.93,,0.94,,0.98,1,1.03,0.99,0.89,-0.49,,,,,
3/31/2014,-0.49972106,,-0.49,,-0.48,,-0.42,-0.41,1.12,,,,,,,,
12/31/2013,0.743613749,,1.15,,1.17,,1.04,0.98,1.07,,,,,,,,
9/30/2013,1.211313131,,1.07,,1,,0.7,,,,,,,,,,
6/28/2013,0.798209927,,0.7,,0.69,,-0.38,,,,,,,,,,
3/28/2013,-0.363001994,,-0.37,,-0.38,,-0.37,0.77,,,,,,,,,
12/28/2012,0.8,,0.77,,0.71,,,,,,,,,,,,
9/28/2012,0.81,,0.71,,,,,,,,,,,,,,
6/29/2012,0.53,,0.44,,,,,,,,,,,,,,
3/30/2012,-0.2241,,-0.2,,,,,,,,,,,,,,
12/30/2011,-0.0092,,nan,,,,,,,,,,,,,,
9/30/2011,0.536,,nan,,,,,,,,,,,,,,
6/30/2011,0.3367,,nan,,,,,,,,,,,,,,
3/31/2011,0.5412,,nan,,,,,,,,,,,,,,
12/31/2010,0.3049,,nan,,,,,,,,,,,,,,
9/30/2010,0.36,,nan,,,,,,,,,,,,,,
6/30/2010,0.22,,nan,,,,,,,,,,,,,,
3/31/2010,-0.16,,nan,,,,,,,,,,,,,,
12/31/2009,0.21,,nan,,,,,,,,,,,,,,
9/30/2009,0.28,,nan,,,,,,,,,,,,,,
6/30/2009,-0.57,,nan,,,,,,,,,,,,,,
3/31/2009,-0.3,,nan,,,,,,,,,,,,,,
12/31/2008,0.21,,nan,,,,,,,,,,,,,,
9/30/2008,0.06,,nan,,,,,,,,,,,,,,
6/30/2008,0.29,,nan,,,,,,,,,,,,,,
3/31/2008,0.01,,nan,,,,,,,,,,,,,,
12/31/2007,0.34,,nan,,,,,,,,,,,,,,
9/28/2007,0.54,,nan,,,,,,,,,,,,,,
6/29/2007,0.42,,nan,,,,,,,,,,,,,,
3/30/2007,0.15,,nan,,,,,,,,,,,,,,
12/29/2006,0.21,,nan,,,,,,,,,,,,,,
9/29/2006,0.06,,nan,,,,,,,,,,,,,,
6/30/2006,0.29,,nan,,,,,,,,,,,,,,
3/31/2006,0.01,,nan,,,,,,,,,,,,,,
12/30/2005,0.37,,nan,,,,,,,,,,,,,,
9/30/2005,0.4,,nan,,,,,,,,,,,,,,
6/30/2005,0.31,,nan,,,,,,,,,,,,,,
3/31/2005,0.1,,nan,,,,,,,,,,,,,,
12/31/2004,0.266666667,,nan,,,,,,,,,,,,,,
9/30/2004,0.266666667,,nan,,,,,,,,,,,,,,
6/30/2004,0.2,,nan,,,,,,,,,,,,,,
3/31/2004,0.066666667,,nan,,,,,,,,,,,,,,
12/31/2003,0.146666667,,nan,,,,,,,,,,,,,,
9/30/2003,0.106666667,,nan,,,,,,,,,,,,,,
6/30/2003,0.02,,nan,,,,,,,,,,,,,,
3/31/2003,-0.04,,nan,,,,,,,,,,,,,,
12/31/2002,-0.113333333,,nan,,,,,,,,,,,,,,
9/30/2002,0.006666667,,nan,,,,,,,,,,,,,,
6/28/2002,0,,nan,,,,,,,,,,,,,,
3/28/2002,-0.046666667,,nan,,,,,,,,,,,,,,
12/31/2001,-0.253333333,,nan,,,,,,,,,,,,,,
9/28/2001,0.026666667,,nan,,,,,,,,,,,,,,
6/29/2001,-0.02,,nan,,,,,,,,,,,,,,
3/30/2001,-0.02,,nan,,,,,,,,,,,,,,
12/29/2000,0.006666667,,nan,,,,,,,,,,,,,,
9/29/2000,0.046666667,,nan,,,,,,,,,,,,,,
6/30/2000,0.073333333,,nan,,,,,,,,,,,,,,
3/31/2000,0.066666667,,nan,,,,,,,,,,,,,,
12/31/1999,0.12,,nan,,,,,,,,,,,,,,
9/30/1999,0.16,,nan,,,,,,,,,,,,,,
6/30/1999,0.106666667,,nan,,,,,,,,,,,,,,
3/31/1999,0.066666667,,nan,,,,,,,,,,,,,,
12/31/1998,0.106666667,,nan,,,,,,,,,,,,,,
9/30/1998,0.14,,nan,,,,,,,,,,,,,,
6/30/1998,0.053333333,,nan,,,,,,,,,,,,,,
3/31/1998,0.033333333,,nan,,,,,,,,,,,,,,
12/31/1997,0.066666667,,nan,,,,,,,,,,,,,,
9/30/1997,0.086666667,,nan,,,,,,,,,,,,,,
6/30/1997,0.106666667,,nan,,,,,,,,,,,,,,
3/31/1997,0.066666667,,nan,,,,,,,,,,,,,,
12/31/1996,0.106666667,,nan,,,,,,,,,,,,,,
9/30/1996,0.14,,nan,,,,,,,,,,,,,,
6/28/1996,0.106666667,,nan,,,,,,,,,,,,,,
3/29/1996,0.073333333,,nan,,,,,,,,,,,,,,
12/29/1995,0.106666667,,nan,,,,,,,,,,,,,,
9/29/1995,0.133333333,,nan,,,,,,,,,,,,,,
6/30/1995,0.093333333,,nan,,,,,,,,,,,,,,
3/31/1995,0.033333333,,nan,,,,,,,,,,,,,,
12/30/1994,0.086666667,,nan,,,,,,,,,,,,,,
9/30/1994,0.126666667,,nan,,,,,,,,,,,,,,
6/30/1994,0.08,,nan,,,,,,,,,,,,,,
3/31/1994,0.06,,nan,,,,,,,,,,,,,,
12/31/1993,0.053333333,,nan,,,,,,,,,,,,,,
9/30/1993,0.073333333,,nan,,,,,,,,,,,,,,
