CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/5/2022,3/31/2022,1.602469862,1.72,,1.53,,1.5,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/26/2022,12/31/2021,0.038951699,1.9,,1.76,,1.74,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10/27/2021,9/30/2021,1.582502927,1.7,,1.64,,1.61,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/29/2021,6/30/2021,1.417474895,1.5,,1.3,,1.24,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/5/2021,3/31/2021,0.735260739,1.11,,0.98,,0.56,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/3/2021,12/31/2020,0.038707833,0.86,,0.71,,0.61,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/2/2020,9/30/2020,0.692274776,0.76,,0.67,,0.64,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/29/2020,6/30/2020,0.801448864,0.81,,0.75,,0.72,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4/28/2020,3/31/2020,0.735260739,0.8,,0.67,,0.66,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2019,0.726135747,,,0.87,,0.8,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2019,0.119847524,,,0.56,,0.51,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2019,0.7452724,,,0.52,,0.57,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/2019,0.233163251,,,0.35,,0.72,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2018,0.418574993,,,0.83,,0.84,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2018,0.812879505,,,0.88,,0.96,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2018,0.849990318,,,0.89,,0.91,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/2018,0.638472826,,,0.7,,0.8,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2017,0.272656575,,,0.66,,0.67,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2017,0.491068438,,,0.65,,0.55,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2017,0.671294098,,,0.71,,0.77,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2017,0.649892692,,,0.69,,0.67,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2016,0.734272801,,,0.89,,0.86,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2016,0.920734967,,,0.94,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2016,0.818778893,,,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2016,0.649892692,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.379732487,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.377779686,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.525913314,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.44603033,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,0.351019698,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.425631159,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.408067405,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.111886465,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.160855361,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.287502251,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.224999254,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.142051628,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2012,0.234447073,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.464291021,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.318356983,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.387610989,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.367492121,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2011,0.563131624,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,0.139725517,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,0.205077565,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,-0.188294817,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,0.563131624,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,0.074192591,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,-0.076817655,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,-2.116000862,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,-0.167956796,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,-0.222482689,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,-0.051436719,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,-0.298354582,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,0.263454988,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,0.058902837,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,0.237375544,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2007,0.351165738,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,0.293500678,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,0.268137387,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/30/2007,0.335543808,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2006,0.801885934,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/29/2006,0.28,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2006,0.181481836,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2006,0.135592135,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2005,0.342106433,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
