Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,
,6/29/2012,1.195298373,,1.11,,,,,,,,,,,,,,
,3/30/2012,1.044404973,,0.99,,,,,,,,,,,,,,
,12/30/2011,0.818021201,,nan,,,,,,,,,,,,,,
,9/30/2011,1.008756567,,nan,,,,,,,,,,,,,,
,6/30/2011,1.069565217,,nan,,,,,,,,,,,,,,
,3/31/2011,0.981067126,,nan,,,,,,,,,,,,,,
,12/31/2010,0.721843003,,nan,,,,,,,,,,,,,,
,9/30/2010,0.894378194,,nan,,,,,,,,,,,,,,
,6/30/2010,0.897651007,,nan,,,,,,,,,,,,,,
,3/31/2010,-0.104651163,,nan,,,,,,,,,,,,,,
,12/31/2009,0.936170213,,nan,,,,,,,,,,,,,,
,9/30/2009,0.866013072,,nan,,,,,,,,,,,,,,
,6/30/2009,0.959150327,,nan,,,,,,,,,,,,,,
,3/31/2009,0.830917874,,nan,,,,,,,,,,,,,,
,12/31/2008,0.906050955,,nan,,,,,,,,,,,,,,
,9/30/2008,0.739811912,,nan,,,,,,,,,,,,,,
,6/30/2008,0.852664577,,nan,,,,,,,,,,,,,,
,3/31/2008,0.666149068,,nan,,,,,,,,,,,,,,
,12/31/2007,0.741085271,,nan,,,,,,,,,,,,,,
,9/28/2007,0.61,,nan,,,,,,,,,,,,,,
,6/29/2007,0.65,,nan,,,,,,,,,,,,,,
,3/30/2007,0.61,,nan,,,,,,,,,,,,,,
,12/29/2006,0.66,,nan,,,,,,,,,,,,,,
,9/29/2006,0.57,,nan,,,,,,,,,,,,,,
,6/30/2006,0.47,,nan,,,,,,,,,,,,,,
,3/31/2006,0.43,,nan,,,,,,,,,,,,,,
,12/30/2005,0.46,,nan,,,,,,,,,,,,,,
,9/30/2005,0.18,,nan,,,,,,,,,,,,,,
,6/30/2005,0.51,,nan,,,,,,,,,,,,,,
,3/31/2005,0.36,,nan,,,,,,,,,,,,,,
,12/31/2004,0.18,,nan,,,,,,,,,,,,,,
,9/30/2004,0.45,,nan,,,,,,,,,,,,,,
,6/30/2004,-0.28,,nan,,,,,,,,,,,,,,
,3/31/2004,0.28,,nan,,,,,,,,,,,,,,
,12/31/2003,0.61,,nan,,,,,,,,,,,,,,
,9/30/2003,0.42,,nan,,,,,,,,,,,,,,
,6/30/2003,0.06,,nan,,,,,,,,,,,,,,
,3/31/2003,0.35,,nan,,,,,,,,,,,,,,
,12/31/2002,0.02,,nan,,,,,,,,,,,,,,
,9/30/2002,0.51,,nan,,,,,,,,,,,,,,
,6/28/2002,0.32,,nan,,,,,,,,,,,,,,
,3/28/2002,0.41,,nan,,,,,,,,,,,,,,
,12/31/2001,-0.12,,nan,,,,,,,,,,,,,,
,9/28/2001,0.45,,nan,,,,,,,,,,,,,,
,6/29/2001,0.42,,nan,,,,,,,,,,,,,,
,3/30/2001,0.27,,nan,,,,,,,,,,,,,,
,12/29/2000,0.44,,nan,,,,,,,,,,,,,,
,9/29/2000,0.385,,nan,,,,,,,,,,,,,,
,6/30/2000,0.08,,nan,,,,,,,,,,,,,,
,3/31/2000,0.345,,nan,,,,,,,,,,,,,,
,12/31/1999,0.385,,nan,,,,,,,,,,,,,,
,9/30/1999,0.355,,nan,,,,,,,,,,,,,,
,6/30/1999,0.35,,nan,,,,,,,,,,,,,,
,3/31/1999,0.26,,nan,,,,,,,,,,,,,,
,12/31/1998,0.365,,nan,,,,,,,,,,,,,,
,9/30/1998,-0.215,,nan,,,,,,,,,,,,,,
,6/30/1998,0.11,,nan,,,,,,,,,,,,,,
