CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,
,5/1/2024,3/30/2024,1.43,1.42,,1.01,,1.01,,1.05,,,,,,,,,,,,,,,,,
,2/21/2024,12/31/2023,2.82,1.72,4/2/2023,1.39,4/2/2023,1.39,4/2/2023,1.37,4/2/2023,,,,,,,,,,,,,,,,
,11/1/2023,9/30/2023,1.34,1.41,,1.29,,1.26,,1.31,,,,,,,,,,,,,,,,,
,8/5/2023,6/30/2023,1.5,1.45,,1.41,,1.43,,1.49,,,,,,,,,,,,,,,,,
,5/3/2023,3/30/2023,1.05,1.02,,1.06,,1.11,,1.12,,,,,,,,,,,,,,,,,
,2/22/2023,12/30/2022,1.53,1.35,,1.16,,1.15,,1.16,,,,,,,,,,,,,,,,,
,10/26/2022,9/30/2022,1.09,1.24,,1.16,,1.16,,1.23,,,,,,,,,,,,,,,,,
,7/27/2022,6/30/2022,1.33,1.44,,1.41,,1.41,,1.47,,,,,,,,,,,,,,,,,
,4/27/2022,3/31/2022,1.09,1.11,,1.06,,1.04,,1.09,,,,,,,,,,,,,,,,,
,2/16/2022,12/31/2021,1.48,1.55,,1.43,,1.5,,1.67,,,,,,,,,,,,,,,,,
,10/27/2021,9/30/2021,1.34088568,1.41,,1.26,,1.25,,1.34,,,,,,,,,,,,,,,,,
,7/28/2021,6/30/2021,1.643585609,1.68,,1.26,,1.25,,1.2,,,,,,,,,,,,,,,,,
,4/28/2021,3/31/2021,1.141019657,1.18,,0.89,,0.87,,0.85,,,,,,,,,,,,,,,,,
,2/17/2021,12/31/2020,1.734242316,1.73,,1.39,,1.38,,1.24,,,,,,,,,,,,,,,,,
,10/28/2020,9/30/2020,1.63230867,1.58,,0.99,,0.82,,1.16,,,,,,,,,,,,,,,,,
,7/29/2020,6/30/2020,0.961392924,0.91,,0.39,,1.14,,1.22,,,,,,,,,,,,,,,,,
,4/29/2020,3/31/2020,0.840967426,0.91,,0.84,,0.86,,0.83,,,,,,,,,,,,,,,,,
,2/19/2020,12/31/2019,1.886782586,1.29,,1.04,,1.03,,1.07,,,,,,,,,,,,,,,,,
,10/30/2019,9/30/2019,1.193431154,1.27,,0.95,,0.96,,0.92,,,,,,,,,,,,,,,,,
,7/31/2019,6/28/2019,1.172729847,1.16,,1.01,,1.04,,1.05,,,,,,,,,,,,,,,,,
,5/1/2019,3/29/2019,0.735434079,0.73,,0.71,,0.68,,,,,,,,,,,,,,,,,,,
,2/20/2019,12/31/2018,1.01143617,1.02,,0.8,,0.85,,,,,,,,,,,,,,,,,,,
,10/31/2018,9/28/2018,0.969521855,1,,0.76,,,,,,,,,,,,,,,,,,,,,
,8/1/2018,6/29/2018,1.004650034,0.99,,0.87,,0.89,,,,,,,,,,,,,,,,,,,
,5/2/2018,3/29/2018,0.683462587,0.68,,0.56,,,,,,,,,,,,,,,,,,,,,
,,12/29/2017,0.734616097,,,0.76,,0.74,,0.68,,,,,,,,,,,,,,,,,
,,9/29/2017,0.78207332,,,0.66,,0.59,,0.53,,,,,,,,,,,,,,,,,
,,6/30/2017,0.906935042,,,0.81,,0.84,,0.83,,,,,,,,,,,,,,,,,
,,3/31/2017,1.258058202,,,0.45,,0.49,,0.47,,,,,,,,,,,,,,,,,
,,12/30/2016,0.722124427,,,0.57,,0.62,,0.6,,,,,,,,,,,,,,,,,
,,9/23/2016,0.66082922,,,0.54,,0.53,,0.55,,,,,,,,,,,,,,,,,
,,6/24/2016,0.850583029,,,0.67,,0.69,,0.7,,,,,,,,,,,,,,,,,
,,3/24/2016,0.46449531,,,0.42,,0.41,,0.4,,,,,,,,,,,,,,,,,
,,12/31/2015,0.697314153,,,0.48,,0.47,,0.52,,,,,,,,,,,,,,,,,
,,9/30/2015,0.625184727,,,0.55,,0.67,,0.77,,,,,,,,,,,,,,,,,
,,6/26/2015,0.718961378,,,0.78,,0.92,,0.95,,,,,,,,,,,,,,,,,
,,3/27/2015,0.347263454,,,0.57,,0.58,,0.59,,,,,,,,,,,,,,,,,
,,12/31/2014,1.092999439,,,0.78,,0.79,,0.78,,,,,,,,,,,,,,,,,
,,9/30/2014,-0.763809633,,,0.71,,0.69,,0.68,,,,,,,,,,,,,,,,,
,,6/30/2014,0.933461568,,,0.76,,0.75,,0.76,,,,,,,,,,,,,,,,,
,,3/31/2014,0.606647605,,,0.44,,0.43,,0.42,,,,,,,,,,,,,,,,,
,,12/31/2013,0.833180536,,,0.62,,0.61,,0.66,,,,,,,,,,,,,,,,,
,,9/30/2013,0.956036679,,,0.59,,0.58,,0.59,,,,,,,,,,,,,,,,,
,,6/28/2013,0.878711156,,,0.65,,0.68,,0.41,,,,,,,,,,,,,,,,,
,,3/28/2013,0.451325226,,,0.41,,0.47,,0.49,,,,,,,,,,,,,,,,,
,,12/31/2012,0.658739014,,,0.73,,0.76,,0.78,,,,,,,,,,,,,,,,,
,,9/28/2012,0.715473514,,,0.61,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.94722334,,,0.67,,,,,,,,,,,,,,,,,,,,,
,,3/30/2012,0.443893639,,,0.4,,,,,,,,,,,,,,,,,,,,,
,,12/30/2011,0.848569964,,,nan,,,,,,,,,,,,,,,,,,,,,
,,9/23/2011,0.77186544,,,nan,,,,,,,,,,,,,,,,,,,,,
,,6/27/2011,0.561780629,,,nan,,,,,,,,,,,,,,,,,,,,,
,,3/25/2011,0.490355382,,,nan,,,,,,,,,,,,,,,,,,,,,
,,12/23/2010,0.671216965,,,nan,,,,,,,,,,,,,,,,,,,,,
,,9/24/2010,1.431361204,,,nan,,,,,,,,,,,,,,,,,,,,,
,,6/25/2010,0.673731397,,,nan,,,,,,,,,,,,,,,,,,,,,
,,3/26/2010,0.185632375,,,nan,,,,,,,,,,,,,,,,,,,,,
,,12/24/2009,1.384005846,,,nan,,,,,,,,,,,,,,,,,,,,,
,,9/25/2009,1.06713327,,,nan,,,,,,,,,,,,,,,,,,,,,
,,6/26/2009,0.805917761,,,nan,,,,,,,,,,,,,,,,,,,,,
,,3/27/2009,0.241813426,,,nan,,,,,,,,,,,,,,,,,,,,,
,,12/26/2008,0.74868521,,,nan,,,,,,,,,,,,,,,,,,,,,
,,9/26/2008,0.822865161,,,nan,,,,,,,,,,,,,,,,,,,,,
,,6/27/2008,1.187965042,,,nan,,,,,,,,,,,,,,,,,,,,,
,,3/28/2008,0.674854666,,,nan,,,,,,,,,,,,,,,,,,,,,
,,12/28/2007,1.397462194,,,nan,,,,,,,,,,,,,,,,,,,,,
,,9/28/2007,0.88,,,nan,,,,,,,,,,,,,,,,,,,,,
,,6/29/2007,0.98,,,nan,,,,,,,,,,,,,,,,,,,,,
,,3/30/2007,0.64,,,nan,,,,,,,,,,,,,,,,,,,,,
,,12/29/2006,0.83,,,nan,,,,,,,,,,,,,,,,,,,,,
,,9/29/2006,0.56,,,nan,,,,,,,,,,,,,,,,,,,,,
,,6/30/2006,0.56,,,nan,,,,,,,,,,,,,,,,,,,,,
,,3/31/2006,0.4,,,nan,,,,,,,,,,,,,,,,,,,,,
,,12/30/2005,0.4,,,nan,,,,,,,,,,,,,,,,,,,,,
,,9/30/2005,0.47,,,nan,,,,,,,,,,,,,,,,,,,,,
,,6/30/2005,0.34,,,nan,,,,,,,,,,,,,,,,,,,,,
,,3/31/2005,0.215,,,nan,,,,,,,,,,,,,,,,,,,,,
,,12/23/2004,0.22,,,nan,,,,,,,,,,,,,,,,,,,,,
,,9/24/2004,0.31,,,nan,,,,,,,,,,,,,,,,,,,,,
,,6/25/2004,0.26,,,nan,,,,,,,,,,,,,,,,,,,,,
,,3/26/2004,0.16,,,nan,,,,,,,,,,,,,,,,,,,,,
,,12/26/2003,0.255,,,nan,,,,,,,,,,,,,,,,,,,,,
,,9/26/2003,0.16,,,nan,,,,,,,,,,,,,,,,,,,,,
,,6/27/2003,0.215,,,nan,,,,,,,,,,,,,,,,,,,,,
,,3/28/2003,0.19,,,nan,,,,,,,,,,,,,,,,,,,,,
,,12/27/2002,0.205,,,nan,,,,,,,,,,,,,,,,,,,,,
,,9/27/2002,0.18,,,nan,,,,,,,,,,,,,,,,,,,,,
,,6/28/2002,0.15,,,nan,,,,,,,,,,,,,,,,,,,,,
,,3/28/2002,0.125,,,nan,,,,,,,,,,,,,,,,,,,,,
,,12/28/2001,0.13,,,nan,,,,,,,,,,,,,,,,,,,,,
,,9/28/2001,0.115,,,nan,,,,,,,,,,,,,,,,,,,,,
,,6/29/2001,0.17,,,nan,,,,,,,,,,,,,,,,,,,,,
