CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,2/13/2023,12/31/2022,1.35,1.21,,1.21,,1.21,,1.2,,,,,,,,,,,,,,,,,
,10/31/2022,9/30/2022,1.13,1.25,,1.04,,1.04,,1.03,,,,,,,,,,,,,,,,,
,8/1/2022,6/30/2022,0.94,1.08,,0.91,,0.91,,0.9,,,,,,,,,,,,,,,,,
,5/2/2022,3/31/2022,0.85,0.84,,0.81,,0.81,,0.8,,,,,,,,,,,,,,,,,
,2/14/2022,12/31/2021,0.75,0.82,,0.73,,0.73,,2.91,,,,,,,,,,,,,,,,,
,11/1/2021,9/30/2021,2.81,2.96,,2.73,,2.73,,2.71,,,,,,,,,,,,,,,,,
,8/2/2021,6/30/2021,2.47,2.72,,2.54,,2.54,,2.53,,,,,,,,,,,,,,,,,
,5/4/2021,3/31/2021,2.27,2.5,,2.38,,2.38,,2.35,,,,,,,,,,,,,,,,,
,2/18/2021,12/31/2020,2.31,2.49,,2.38,,2.38,,2.33,3/23/2020,,,,,,,,,,,,,,,,
,11/2/2020,9/30/2020,2.12,2.42,,2.21,,2.21,,2.13,,,,,,,,,,,,,,,,,
,8/4/2020,6/30/2020,1.83,2.11,,1.95,,1.96,,2.01,,,,,,,,,,,,,,,,,
,5/5/2020,3/31/2020,1.73,2.02,,1.85,,1.93,,1.93,,,,,,,,,,,,,,,,,
,2/13/2020,12/31/2019,3.25,2.29,,2.1,,2.1,,2.51,,,,,,,,,,,,,,,,,
,10/3/2019,9/30/2019,2.59,2.69,,2.41,,2.32,,2.32,,,,,,,,,,,,,,,,,
,8/1/2019,6/28/2019,2.325665458,2.44,,2.2,,2.24,,2.15,,,,,,,,,,,,,,,,,
,5/2/2019,3/29/2019,2.474242928,2.31,,2.07,,2.08,,1.96,,,,,,,,,,,,,,,,,
,2/14/2019,12/31/2018,2.103326414,2.25,,2.07,,2.06,,1.94,,,,,,,,,,,,,,,,,
,11/1/2018,9/28/2018,2.079105878,2.11,,1.84,,1.82,,1.8,,,,,,,,,,,,,,,,,
,8/2/2018,6/29/2018,1.863694851,1.93,,1.7,,1.68,,1.55,,,,,,,,,,,,,,,,,
,5/3/2018,3/29/2018,1.789571487,1.66,,1.51,,1.35,,1.32,,,,,,,,,,,,,,,,,
,2/15/2018,12/29/2017,1.29398203,,,1.41,,1.39,,1.28,,,,,,,,,,,,,,,,,
,11/2/2017,9/29/2017,1.683706916,,,1.19,,1,,0.99,,,,,,,,,,,,,,,,,
,8/2/2017,6/30/2017,1.303837168,,,0.95,,0.91,,0.9,,,,,,,,,,,,,,,,,
,5/4/2017,3/31/2017,1.067082925,,,0.86,,0.85,,0.83,,,,,,,,,,,,,,,,,
,,12/30/2016,0.787024091,,,0.82,,0.81,,0.8,,,,,,,,,,,,,,,,,
,,9/30/2016,0.694049256,,,0.73,,0.72,,0.7,,,,,,,,,,,,,,,,,
,,6/30/2016,0.530576651,,,0.68,,0.64,,0.62,,,,,,,,,,,,,,,,,
,,3/31/2016,0.483853546,,,0.6,,0.61,,0.56,,,,,,,,,,,,,,,,,
,,12/31/2015,0.60314729,,,0.8,,0.61,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.394076815,,,0.53,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.336951485,,,0.46,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.34036085,,,0.37,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,0.431905894,,,0.38,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.304787989,,,0.28,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.337086048,,,0.13,,,,,,,,,,,,,,,,,,,,,
