Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
10/27/2016,9/30/2016,0.062211982,,0.05,,0.08,,0.46,,0.67,,0.96,,0.92,,1.08,,0.04,,,,,,,,,,,,,,,,,,,,,,
7/28/2016,6/30/2016,0.32718894,,0.04,,0.11,,0.57,,0.91,,0.92,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/2016,3/31/2016,-0.186635945,,-0.3,,-0.41,,0.45,,0.43,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2015,-0.51843318,,-0.33,,-0.1,,-0.04,,-0.14,,0.14,,-0.01,,0.07,,0.16,,0.22,,0.14,,0.41,,,,,,,,,,,,,,,,
,9/30/2015,0.667050691,,0.96,,0.85,,0.62,,0.81,,0.89,,0.74,,0.65,,0.71,,0.94,,1.79,,,,,,,,,,,,,,,,,,
,6/30/2015,1.173963134,,0.86,,0.69,,0.94,,1,,0.76,,0.67,,0.83,,0.96,,1.81,,,,,,,,,,,,,,,,,,,,
,3/31/2015,0.632488479,,0.72,,0.81,,0.54,,0.58,,0.6,,0.46,,0.37,,0.54,,0.62,,1.02,,1.03,,,,,,,,,,,,,,,,
,12/31/2014,-0.511520737,,0.69,,0.76,,0.52,,0.78,,0.7,,0.59,,0.69,,0.98,,0.86,,0.91,,0.89,,0.88,,1.09,,0.79,,0.74,,0.79,,0.87,,0.79,,1.2
,9/30/2014,0.091013825,,0.74,,0.69,,0.7,,1.18,,1.14,,1.2,,1.26,,1.28,,0.93,,0.94,,1,,1.09,,0.9,,1.36,,,,,,,,,,
,6/30/2014,0.964285714,,0.87,,1.28,,1,,1.08,,1.04,,1.12,,1.24,,1.28,,0.72,,0.83,,0.85,,0.91,,0.76,,0.71,,,,,,,,,,
,3/31/2014,1.459677419,,0.82,,0.74,,0.75,,0.69,,0.78,,0.68,,0.73,,0.72,,0.77,,0.62,,0.28,,,,,,,,,,,,,,,,
,12/31/2013,-0.25,,0.39,,0.42,,0.59,,0.62,,0.66,,0.99,,0.6,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2013,0.506912442,,0.21,,0.6,,0.65,,0.79,,1.11,,1.27,,1.41,,1.61,,,,,,,,,,,,,,,,,,,,,,
,6/28/2013,2.111767622,,1.62,,1.72,,1.57,,1.6,,2.12,,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/28/2013,1.900621955,,1.48,,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2012,0.462703146,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/28/2012,2.405775353,,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/29/2012,1.74931591,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/30/2012,-0.290318363,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/30/2011,0.750545521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/29/2011,1.245276009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2011,1.422325129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2011,0.521599319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2010,0.026400036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2010,0.266705511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2010,0.013316905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2010,-0.143207567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2009,0.109993007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2009,-0.15582489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2009,0.494235432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2009,0.355191655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/31/2008,0.128715244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/30/2008,1.156643435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/30/2008,0.3596615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/31/2008,0.257907519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
