CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,,,,,,,,,,,,,,,,,
,8/6/2020,6/30/2020,0.38,,0.28,,0.34,,0.55,,0.53,,0.53,,0.56,,0.57,,0.57,,0.57,,0.49,,0.48,,0.510872483,,,,,,,,,,,,
,5/7/2020,3/31/2020,0.09,,0.17,,0.18,,0.18,,0.17,,0.17,,0.17,,0.17,,0.16,,0.104496644,,,,,,,,,,,,,,,,,,
,3/2/2020,12/31/2019,0.35,,0.39,,0.39,,0.38,,0.36,,0.36,,0.4,,0.41,,0.42,0.4,0.38,0.36,,,,,,,,,,,,,,,,,
,11/7/2019,9/30/2019,0.49,,0.58,,0.6,,0.6,,0.62,,0.6,,0.61,0.57,,,,,,,,,,,,,,,,,,,,,,,
,8/7/2019,6/28/2019,0.383947939,,0.43,,0.44,,0.43,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5/8/2019,3/29/2019,0.02826087,,0.1,,0.09,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/1/2019,12/31/2018,0.263043478,,0.31,,0.58,,0.66,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/6/2018,9/28/2018,0.512987013,,0.45,,0.38,,0.42,,0.54,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/7/2018,6/29/2018,0.238611714,,0.29,,0.28,,0.34,,0.37,,0.47,0.4,,,,,,,,,,,,,,,,,,,,,,,,,
,5/8/2018,3/29/2018,-0.028138528,,0.08,,0.09,,0.1,,0.13,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/1/2018,12/29/2017,0.233261339,,0.29,,0.49,,0.47,,0.55,,0.53,0.46,0.52,0.5,0.54,0.515,0.505,,,,,,,,,,,,,,,,,,,,
,11/7/2017,9/29/2017,0.295258621,,0.43,,0.44,,0.48,,0.47,,0.5,0.49,0.53,0.54,0.55,0.54,0.525,,,,,,,,,,,,,,,,,,,,
,8/8/2017,6/30/2017,0.148706897,,0.34,,0.42,,0.44,,0.45,,0.47,0.48,0.495,0.485,,,,,,,,,,,,,,,,,,,,,,,
,5/9/2017,3/31/2017,0.045258621,,0.18,,0.2,,0.21,,0.22,,0.21,0.225,0.19,,,,,,,,,,,,,,,,,,,,,,,,
,3/1/2017,12/30/2016,0.403017241,,0.47,,0.46,,0.47,,0.44,,0.42,0.4,0.42,0.44,0.4,0.38,0.42,,,,,,,,,,,,,,,,,,,,
,11/7/2016,9/30/2016,0.290322581,,0.42,,0.36,,0.405,,0.4,,0.46,0.51,0.46,0.43,0.38,,,,,,,,,,,,,,,,,,,,,,
,8/9/2016,6/30/2016,0.350537634,,0.38,,0.31,,0.4,,0.405,,0.415,0.4,0.405,0.42,,,,,,,,,,,,,,,,,,,,,,,
,5/10/2016,3/31/2016,0.122317597,,0.135,,0.13,,0.165,,0.18,,0.185,0.18,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2015,0.378205128,,0.345,,0.33,,0.335,,0.31,,0.325,0.425,0.395,0.425,0.42,0.395,0.38,0.405,,,,,,,,,,,,,,,,,,,
,,9/30/2015,0.324034335,,0.41,,0.35,,0.375,,0.395,,0.405,0.43,0.42,0.39,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2015,0.283261803,,0.35,,0.355,,0.39,,0.4,,0.355,0.365,0.3675,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2015,0.118025751,,0.1,,0.115,,0.12,,0.115,,0.1,0.0975,0.335,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2014,0.311965812,,0.325,,0.32,,0.33,,0.335,,0.3125,0.31,0.32,0.325,0.33,0.35,,,,,,,,,,,,,,,,,,,,,
,,9/30/2014,0.293991416,,0.365,,0.36,,0.3525,,0.3375,,0.34,0.3675,0.39,0.305,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2014,0.25862069,,0.32,,0.3225,,0.3325,,0.355,,0.3475,0.1025,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2014,0.051724138,,0.0975,,0.1,,0.135,,0.1175,,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2013,0.323275862,,0.3175,,0.27,,0.2675,,0.3075,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2013,0.265086207,,0.3175,,0.3325,,0.2925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2013,0.252155172,,0.2925,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2013,0.056034483,,0.105,,0.1225,,0.1125,,0.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2012,0.207264957,,0.21,,0.205,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2012,0.224358974,,0.305,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/29/2012,0.217672414,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2012,0.077586207,,0.0575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/28/2011,0.113043478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2011,0.256410256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2011,0.178571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/2011,0.01059322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2010,0.019230769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2010,0.192477876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/28/2010,0.148230088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/29/2010,0.030701754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2009,0.191441441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/28/2009,0.256818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/26/2009,0.097222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/27/2009,0.549528302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/29/2008,0.176190476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/26/2008,0.121559633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/26/2008,0.129545455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/27/2008,-0.0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/27/2007,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/26/2007,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/27/2007,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/28/2007,0.0475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/27/2006,0.1725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/27/2006,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/27/2006,0.1575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2006,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/30/2005,0.1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2005,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
