Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,,,,,,,
9/29/2000,0.16091805,,nan,,,,,,,,,,,,
6/30/2000,0.158713693,,nan,,,,,,,,,,,,
3/31/2000,0.152100622,,nan,,,,,,,,,,,,
12/31/1999,-0.048495851,,nan,,,,,,,,,,,,
9/30/1999,0.143283195,,nan,,,,,,,,,,,,
6/30/1999,0.138874481,,nan,,,,,,,,,,,,
3/31/1999,0.134465768,,nan,,,,,,,,,,,,
12/31/1998,0.127852697,,nan,,,,,,,,,,,,
9/30/1998,0.121239627,,nan,,,,,,,,,,,,
6/30/1998,0.116830913,,nan,,,,,,,,,,,,
3/31/1998,0.112422199,,nan,,,,,,,,,,,,
12/31/1997,0.108013485,,nan,,,,,,,,,,,,
9/30/1997,0.105809129,,nan,,,,,,,,,,,,
6/30/1997,0.101400415,,nan,,,,,,,,,,,,
3/31/1997,0.096991701,,nan,,,,,,,,,,,,
12/31/1996,0.092582988,,nan,,,,,,,,,,,,
9/30/1996,0.090378631,,nan,,,,,,,,,,,,
6/28/1996,0.088174274,,nan,,,,,,,,,,,,
3/29/1996,0.08376556,,nan,,,,,,,,,,,,
12/29/1995,0.081561203,,nan,,,,,,,,,,,,
9/29/1995,0.07715249,,nan,,,,,,,,,,,,
6/30/1995,0.072743776,,nan,,,,,,,,,,,,
3/31/1995,0.066130705,,nan,,,,,,,,,,,,
12/30/1994,0.063926349,,nan,,,,,,,,,,,,
9/30/1994,-0.026452282,,nan,,,,,,,,,,,,
6/30/1994,0.063926349,,nan,,,,,,,,,,,,
3/31/1994,0.063926349,,nan,,,,,,,,,,,,
12/31/1993,0.063926349,,nan,,,,,,,,,,,,
9/30/1993,0.063926349,,nan,,,,,,,,,,,,
6/30/1993,0.063926349,,nan,,,,,,,,,,,,
3/31/1993,0.063926349,,nan,,,,,,,,,,,,
12/31/1992,0.061721992,,nan,,,,,,,,,,,,
9/30/1992,0.059517635,,nan,,,,,,,,,,,,
6/30/1992,0.057313278,,nan,,,,,,,,,,,,
3/31/1992,0.074948133,,nan,,,,,,,,,,,,
