CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,12/19/2022,10/29/2022,0.7,0.7,,0.69,,0.7,,0.7,,,,,,,,,,,,
,8/29/2022,7/30/2022,0.6,0.6,,0.66,,0.66,,0.66,,,,,,,,,,,,
,5/23/2022,4/30/2022,0.62,0.62,,0.61,,0.62,,0.64,,,,,,,,,,,,
,2/23/2022,1/29/2022,0.63,0.63,,0.61,,0.61,,0.67,,,,,,,,,,,,
,12/15/2021,10/29/2021,0.62,0.62,,0.59,,0.58,,0.59,,,,,,,,,,,,
,8/24/2021,7/30/2021,0.56,0.56,,0.55,,0.55,,0.55,,,,,,,,,,,,
,5/25/2021,4/30/2021,0.51,0.51,,0.48,,0.48,,0.49,,,,,,,,,,,,
,2/23/2021,1/29/2021,0.51,0.51,,0.48,,0.5,,0.49,,,,,,,,,,,,
,12/21/2020,10/30/2020,0.45,0.45,,0.42,,0.42,,0.41,,,,,,,,,,,,
,8/25/2020,7/31/2020,0.4,0.4,,0.33,,0.33,,0.32,,,,,,,,,,,,
,5/26/2020,4/30/2020,0.55,0.55,,0.42,,0.48,,0.61,,,,,,,,,,,,
,2/25/2020,1/31/2020,0.89,0.89,,0.74,,0.6,,0.58,,,,,,,,,,,,
,12/16/2019,10/31/2019,0.62,0.62,,0.58,,0.57,,0.55,,,,,,,,,,,,
,8/27/2019,7/31/2019,0.589229406,0.59,,0.54,,0.53,,0.55,,,,,,,,,,,,
,5/28/2019,4/30/2019,0.596052651,0.6,,0.49,,0.51,,0.5,,,,,,,,,,,,
,2/26/2019,1/31/2019,0.579158697,0.58,,0.47,,0.45,,0.55,,,,,,,,,,,,
,12/17/2018,10/31/2018,0.49,0.49,,0.48,,0.6,,0.67,,,,,,,,,,,,
,8/27/2018,7/31/2018,0.490635033,0.49,,0.45,,0.55,,0.61,,,,,,,,,,,,
,5/29/2018,4/30/2018,0.44,0.44,,0.42,,0.53,,0.59,,,,,,,,,,,,
,2/27/2018,1/31/2018,0.48,0.48,,0.4,,0.51,,0.62,,,,,,,,,,,,
,12/18/2017,10/31/2017,0.615732296,,,0.46,,0.57,,0.68,,,,,,,,,,,,
,8/23/2017,7/31/2017,0.525911178,,,0.42,,0.53,,0.64,,,,,,,,,,,,
,5/23/2017,4/28/2017,0.527326662,,,0.4,,0.5,,0.63,,,,,,,,,,,,
,2/28/2017,1/31/2017,0.592089464,,,0.35,,0.44,,0.54,,,,,,,,,,,,
,,10/31/2016,0.646774311,,,0.4,,0.62,,0.65,,,,,,,,,,,,
,,7/29/2016,0.615161545,,,0.38,,0.59,,0.55,,,,,,,,,,,,
,,4/29/2016,0.568251308,,,0.36,,0.56,,0.53,,,,,,,,,,,,
,,1/29/2016,0.460273771,,,0.31,,0.49,,0.47,,,,,,,,,,,,
,,10/30/2015,0.563535912,,,0.43,,0.53,,0.54,,,,,,,,,,,,
,,7/31/2015,0.506163385,,,0.42,,0.52,,0.51,,,,,,,,,,,,
,,4/30/2015,0.488267135,,,0.37,,0.46,,0.49,,,,,,,,,,,,
,,1/30/2015,0.408458822,,,0.45,,0.44,,0.44,,,,,,,,,,,,
,,10/31/2014,0.475404253,,,0.46,,0.47,,0.49,,,,,,,,,,,,
,,7/31/2014,0.494501586,,,0.44,,0.45,,0.46,,,,,,,,,,,,
,,4/30/2014,0.420532207,,,0.4,,0.41,,0.4,,,,,,,,,,,,
,,1/31/2014,0.407634517,,,0.35,,0.36,,0.368,,,,,,,,,,,,
,,10/31/2013,0.443041551,,,0.41,,0.408,,0.416,,,,,,,,,,,,
,,7/31/2013,0.431948071,,,0.37,,0.376,,0.368,,,,,,,,,,,,
,,4/30/2013,0.354405772,,,0.32,,0.328,,0.336,,,,,,,,,,,,
,,1/30/2013,0.298778046,,,0.32,,0.328,,0.336,,,,,,,,,,,,
,,10/31/2012,0.356907383,,,0.344,,,,,,,,,,,,,,,,
,,7/31/2012,0.347215133,,,0.328,,,,,,,,,,,,,,,,
,,4/27/2012,0.573886283,,,0.288,,,,,,,,,,,,,,,,
,,1/30/2012,0.288036033,,,,,,,,,,,,,,,,,,,
,,10/28/2011,0.278790846,,,,,,,,,,,,,,,,,,,
,,7/29/2011,0.306727568,,,,,,,,,,,,,,,,,,,
,,4/29/2011,0.253543094,,,,,,,,,,,,,,,,,,,
,,1/31/2011,0.257810266,,,,,,,,,,,,,,,,,,,
,,10/29/2010,0.237148569,,,,,,,,,,,,,,,,,,,
,,7/30/2010,0.226175503,,,,,,,,,,,,,,,,,,,
,,4/30/2010,0.190675745,,,,,,,,,,,,,,,,,,,
,,1/29/2010,0.174960369,,,,,,,,,,,,,,,,,,,
,,10/30/2009,0.176365457,,,,,,,,,,,,,,,,,,,
,,7/31/2009,0.169464729,,,,,,,,,,,,,,,,,,,
,,4/30/2009,0.159836871,,,,,,,,,,,,,,,,,,,
,,1/30/2009,0.170158206,,,,,,,,,,,,,,,,,,,
,,10/31/2008,0.2048,,,,,,,,,,,,,,,,,,,
,,7/31/2008,0.192512,,,,,,,,,,,,,,,,,,,
,,4/30/2008,0.180224,,,,,,,,,,,,,,,,,,,
,,1/31/2008,0.151552,,,,,,,,,,,,,,,,,,,
,,10/31/2007,0.16384,,,,,,,,,,,,,,,,,,,
,,7/31/2007,0.16384,,,,,,,,,,,,,,,,,,,
,,4/30/2007,0.14336,,,,,,,,,,,,,,,,,,,
,,1/31/2007,0.12288,,,,,,,,,,,,,,,,,,,
,,10/31/2006,0.143589744,,,,,,,,,,,,,,,,,,,
,,7/31/2006,0.127179487,,,,,,,,,,,,,,,,,,,
,,4/28/2006,0.114871795,,,,,,,,,,,,,,,,,,,
,,1/31/2006,0.106666667,,,,,,,,,,,,,,,,,,,
,,10/31/2005,0.102564103,,,,,,,,,,,,,,,,,,,
,,7/29/2005,0.094358974,,,,,,,,,,,,,,,,,,,
,,4/29/2005,0.09025641,,,,,,,,,,,,,,,,,,,
,,1/31/2005,0.06974359,,,,,,,,,,,,,,,,,,,
,,10/29/2004,0.082051282,,,,,,,,,,,,,,,,,,,
,,7/30/2004,0.131282051,,,,,,,,,,,,,,,,,,,
,,4/30/2004,0.065641026,,,,,,,,,,,,,,,,,,,
,,1/30/2004,0.053333333,,,,,,,,,,,,,,,,,,,
,,10/31/2003,0.057435897,,,,,,,,,,,,,,,,,,,
,,7/31/2003,0.053333333,,,,,,,,,,,,,,,,,,,
,,4/30/2003,0.045128205,,,,,,,,,,,,,,,,,,,
,,1/31/2003,0.049230769,,,,,,,,,,,,,,,,,,,
,,10/31/2002,0.091575092,,,,,,,,,,,,,,,,,,,
,,7/31/2002,0.047619048,,,,,,,,,,,,,,,,,,,
,,4/30/2002,0.065934066,,,,,,,,,,,,,,,,,,,
,,1/31/2002,0.047619048,,,,,,,,,,,,,,,,,,,
,,10/31/2001,0.051282051,,,,,,,,,,,,,,,,,,,
,,7/31/2001,0.065934066,,,,,,,,,,,,,,,,,,,
,,4/30/2001,0.080586081,,,,,,,,,,,,,,,,,,,
,,1/31/2001,0.065934066,,,,,,,,,,,,,,,,,,,
,,10/31/2000,0.213120213,,,,,,,,,,,,,,,,,,,
,,7/31/2000,0.07992008,,,,,,,,,,,,,,,,,,,
,,4/28/2000,0.07992008,,,,,,,,,,,,,,,,,,,
,,1/31/2000,0.066600067,,,,,,,,,,,,,,,,,,,
,,10/29/1999,0.076960077,,,,,,,,,,,,,,,,,,,
,,7/30/1999,0.071040071,,,,,,,,,,,,,,,,,,,
,,4/30/1999,0.068080068,,,,,,,,,,,,,,,,,,,
,,1/29/1999,0.062160062,,,,,,,,,,,,,,,,,,,
,,10/30/1998,0.062160062,,,,,,,,,,,,,,,,,,,
,,7/31/1998,0.05032005,,,,,,,,,,,,,,,,,,,
,,4/30/1998,0.047360047,,,,,,,,,,,,,,,,,,,
,,1/30/1998,0.044400044,,,,,,,,,,,,,,,,,,,
,,10/31/1997,0.041440041,,,,,,,,,,,,,,,,,,,
,,7/31/1997,0.035520036,,,,,,,,,,,,,,,,,,,
,,4/30/1997,0.0335467,,,,,,,,,,,,,,,,,,,
,,1/31/1997,0.0335467,,,,,,,,,,,,,,,,,,,
,,10/31/1996,0.030257808,,,,,,,,,,,,,,,,,,,
,,7/31/1996,0.140764585,,,,,,,,,,,,,,,,,,,
,,4/30/1996,0.023680024,,,,,,,,,,,,,,,,,,,
,,1/31/1996,0.019733353,,,,,,,,,,,,,,,,,,,
,,10/31/1995,0.01879367,,,,,,,,,,,,,,,,,,,
,,7/31/1995,0.018041923,,,,,,,,,,,,,,,,,,,
,,4/28/1995,0.017290176,,,,,,,,,,,,,,,,,,,
,,1/31/1995,0.015034936,,,,,,,,,,,,,,,,,,,
,,10/31/1994,0.014283189,,,,,,,,,,,,,,,,,,,
,,7/29/1994,0.012027949,,,,,,,,,,,,,,,,,,,
,,4/29/1994,0.009772708,,,,,,,,,,,,,,,,,,,
