CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,
,,8/31/2012,0.688708916,,0.76,,,,,,,,,,,,,,,,,,
,,5/30/2012,1.480493944,,1.36,,,,,,,,,,,,,,,,,,
,,2/28/2012,1.005589231,,0.83,,,,,,,,,,,,,,,,,,
,,11/29/2011,0.230326447,,nan,,,,,,,,,,,,,,,,,,
,,8/30/2011,0.46752218,,nan,,,,,,,,,,,,,,,,,,
,,5/31/2011,1.216889526,,nan,,,,,,,,,,,,,,,,,,
,,2/28/2011,0.902534268,,nan,,,,,,,,,,,,,,,,,,
,,11/30/2010,0.342825148,,nan,,,,,,,,,,,,,,,,,,
,,8/31/2010,0.478596097,,nan,,,,,,,,,,,,,,,,,,
,,5/28/2010,0.500400449,,nan,,,,,,,,,,,,,,,,,,
,,2/26/2010,0.480083521,,nan,,,,,,,,,,,,,,,,,,
,,11/30/2009,0.539337641,,nan,,,,,,,,,,,,,,,,,,
,,8/31/2009,0.17,,nan,,,,,,,,,,,,,,,,,,
,,5/29/2009,0.42,,nan,,,,,,,,,,,,,,,,,,
,,2/27/2009,0.01,,nan,,,,,,,,,,,,,,,,,,
,,11/28/2008,0.51,,nan,,,,,,,,,,,,,,,,,,
,,8/29/2008,0.9,,nan,,,,,,,,,,,,,,,,,,
,,5/30/2008,1.15,,nan,,,,,,,,,,,,,,,,,,
,,2/29/2008,0.79,,nan,,,,,,,,,,,,,,,,,,
,,11/30/2007,0.36,,nan,,,,,,,,,,,,,,,,,,
,,8/31/2007,0.32,,nan,,,,,,,,,,,,,,,,,,
,,5/31/2007,0.62,,nan,,,,,,,,,,,,,,,,,,
,,2/28/2007,0.21,,nan,,,,,,,,,,,,,,,,,,
,,11/30/2006,0.15,,nan,,,,,,,,,,,,,,,,,,
,,8/31/2006,0.26,,nan,,,,,,,,,,,,,,,,,,
,,5/31/2006,0.55,,nan,,,,,,,,,,,,,,,,,,
,,2/28/2006,0.15,,nan,,,,,,,,,,,,,,,,,,
,,11/30/2005,0.04,,nan,,,,,,,,,,,,,,,,,,
,,8/31/2005,0.03,,nan,,,,,,,,,,,,,,,,,,
,,5/31/2005,0.32,,nan,,,,,,,,,,,,,,,,,,
,,2/28/2005,0.05,,nan,,,,,,,,,,,,,,,,,,
,,11/30/2004,0.01,,nan,,,,,,,,,,,,,,,,,,
,,8/31/2004,0.04,,nan,,,,,,,,,,,,,,,,,,
,,5/28/2004,0.36,,nan,,,,,,,,,,,,,,,,,,
,,2/27/2004,0.29,,nan,,,,,,,,,,,,,,,,,,
,,11/28/2003,0.09,,nan,,,,,,,,,,,,,,,,,,
,,8/29/2003,0.17,,nan,,,,,,,,,,,,,,,,,,
,,5/30/2003,0.41,,nan,,,,,,,,,,,,,,,,,,
,,2/28/2003,0.42,,nan,,,,,,,,,,,,,,,,,,
,,11/29/2002,0.1,,nan,,,,,,,,,,,,,,,,,,
,,8/30/2002,0.08,,nan,,,,,,,,,,,,,,,,,,
,,5/31/2002,0.4,,nan,,,,,,,,,,,,,,,,,,
,,2/28/2002,0.34,,nan,,,,,,,,,,,,,,,,,,
,,11/30/2001,0.09,,nan,,,,,,,,,,,,,,,,,,
,,8/31/2001,0.06,,nan,,,,,,,,,,,,,,,,,,
,,5/31/2001,0.33,,nan,,,,,,,,,,,,,,,,,,
,,2/28/2001,0.06,,nan,,,,,,,,,,,,,,,,,,
,,11/30/2000,0.21,,nan,,,,,,,,,,,,,,,,,,
,,8/31/2000,0.12,,nan,,,,,,,,,,,,,,,,,,
,,5/31/2000,0.48,,nan,,,,,,,,,,,,,,,,,,
,,2/28/2000,0.32,,nan,,,,,,,,,,,,,,,,,,
,,11/30/1999,0.13,,nan,,,,,,,,,,,,,,,,,,
,,8/31/1999,0.19,,nan,,,,,,,,,,,,,,,,,,
,,5/28/1999,0.42,,nan,,,,,,,,,,,,,,,,,,
,,2/26/1999,0.25,,nan,,,,,,,,,,,,,,,,,,
,,11/30/1998,0.1,,nan,,,,,,,,,,,,,,,,,,
,,8/31/1998,0.2,,nan,,,,,,,,,,,,,,,,,,
,,5/29/1998,0.6,,nan,,,,,,,,,,,,,,,,,,
,,2/27/1998,0.49,,nan,,,,,,,,,,,,,,,,,,
,,11/28/1997,0.32,,nan,,,,,,,,,,,,,,,,,,
,,8/29/1997,0.206666667,,nan,,,,,,,,,,,,,,,,,,
,,5/30/1997,0.406666667,,nan,,,,,,,,,,,,,,,,,,
,,2/28/1997,0.406666667,,nan,,,,,,,,,,,,,,,,,,
,,11/29/1996,0.32,,nan,,,,,,,,,,,,,,,,,,
,,8/30/1996,0.164444444,,nan,,,,,,,,,,,,,,,,,,
,,5/31/1996,0.373333333,,nan,,,,,,,,,,,,,,,,,,
,,2/29/1996,0.346666667,,nan,,,,,,,,,,,,,,,,,,
,,11/30/1995,0.2,,nan,,,,,,,,,,,,,,,,,,
,,8/31/1995,0.118518519,,nan,,,,,,,,,,,,,,,,,,
,,5/31/1995,0.305185185,,nan,,,,,,,,,,,,,,,,,,
,,2/28/1995,0.18962963,,nan,,,,,,,,,,,,,,,,,,
,,11/30/1994,0.121481481,,nan,,,,,,,,,,,,,,,,,,
,,8/31/1994,0.094814815,,nan,,,,,,,,,,,,,,,,,,
,,5/31/1994,0.272592593,,nan,,,,,,,,,,,,,,,,,,
,,2/28/1994,0.165925926,,nan,,,,,,,,,,,,,,,,,,
