Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,
,3/31/2014,1.614714092,,1.61,,1.65,,1.81,1.83,1.82,2.11,2.02,1.91,,,,,,,
,12/31/2013,1.559441685,,1.92,,1.93,,1.94,2.11,2.05,2.08,,,,,,,,,
,9/30/2013,2.114203669,,2.08,,2.14,,2.09,2.1,,,,,,,,,,,
,6/28/2013,2.537902428,,2.1,,2.04,,2.06,1.94,,,,,,,,,,,
,3/28/2013,1.977503702,,1.96,,1.97,,2.17,,,,,,,,,,,,
,12/31/2012,2.309785236,,1.89,,1.84,,,,,,,,,,,,,,
,9/28/2012,2.14886122,,1.85,,,,,,,,,,,,,,,,
,6/29/2012,1.086924123,,1.68,,,,,,,,,,,,,,,,
,3/29/2012,1.631680023,,1.47,,,,,,,,,,,,,,,,
,12/30/2011,1.17485209,,,,,,,,,,,,,,,,,,
,9/30/2011,1.466506487,,,,,,,,,,,,,,,,,,
,6/30/2011,2.420103261,,,,,,,,,,,,,,,,,,
,3/31/2011,1.586298101,,,,,,,,,,,,,,,,,,
,12/31/2010,0.280649786,,,,,,,,,,,,,,,,,,
,9/30/2010,1.483689312,,,,,,,,,,,,,,,,,,
,6/30/2010,1.460295429,,,,,,,,,,,,,,,,,,
,3/31/2010,1.15369199,,,,,,,,,,,,,,,,,,
,12/31/2009,1.044513563,,,,,,,,,,,,,,,,,,
,9/30/2009,0.968923069,,,,,,,,,,,,,,,,,,
,6/30/2009,0.356903128,,,,,,,,,,,,,,,,,,
,3/31/2009,0.494553554,,,,,,,,,,,,,,,,,,
,12/31/2008,0.92,,,,,,,,,,,,,,,,,,
,9/30/2008,0.82,,,,,,,,,,,,,,,,,,
,6/30/2008,1.44,,,,,,,,,,,,,,,,,,
,3/31/2008,1.82,,,,,,,,,,,,,,,,,,
,12/31/2007,0.6,,,,,,,,,,,,,,,,,,
,9/28/2007,1.83,,,,,,,,,,,,,,,,,,
,6/29/2007,1.95,,,,,,,,,,,,,,,,,,
,3/30/2007,1.57,,,,,,,,,,,,,,,,,,
,12/29/2006,1.88,,,,,,,,,,,,,,,,,,
,9/29/2006,1.85,,,,,,,,,,,,,,,,,,
,6/30/2006,1.87,,,,,,,,,,,,,,,,,,
,3/31/2006,1.72,,,,,,,,,,,,,,,,,,
,12/30/2005,1.78,,,,,,,,,,,,,,,,,,
,9/30/2005,1.64,,,,,,,,,,,,,,,,,,
,6/30/2005,1.69,,,,,,,,,,,,,,,,,,
,3/31/2005,1.62,,,,,,,,,,,,,,,,,,
,12/31/2004,1.53,,,,,,,,,,,,,,,,,,
,9/30/2004,1.56,,,,,,,,,,,,,,,,,,
,6/30/2004,1.53,,,,,,,,,,,,,,,,,,
,3/31/2004,1.3,,,,,,,,,,,,,,,,,,
,12/31/2003,1.58,,,,,,,,,,,,,,,,,,
,9/30/2003,1.28,,,,,,,,,,,,,,,,,,
,6/30/2003,1.1,,,,,,,,,,,,,,,,,,
,3/31/2003,1.23,,,,,,,,,,,,,,,,,,
,12/31/2002,1.34,,,,,,,,,,,,,,,,,,
,9/30/2002,1.23,,,,,,,,,,,,,,,,,,
,6/28/2002,1.26,,,,,,,,,,,,,,,,,,
,3/28/2002,1.25,,,,,,,,,,,,,,,,,,
,12/31/2001,0.96,,,,,,,,,,,,,,,,,,
,9/28/2001,0.98,,,,,,,,,,,,,,,,,,
,6/29/2001,0.94,,,,,,,,,,,,,,,,,,
,3/30/2001,0.85,,,,,,,,,,,,,,,,,,
,12/29/2000,0.78,,,,,,,,,,,,,,,,,,
,9/29/2000,0.94,,,,,,,,,,,,,,,,,,
,6/30/2000,0.907,,,,,,,,,,,,,,,,,,
,3/31/2000,0.861,,,,,,,,,,,,,,,,,,
,12/31/1999,0.784,,,,,,,,,,,,,,,,,,
,9/30/1999,0.829,,,,,,,,,,,,,,,,,,
,6/30/1999,0.8,,,,,,,,,,,,,,,,,,
,3/31/1999,0.834,,,,,,,,,,,,,,,,,,
,12/31/1998,0.747,,,,,,,,,,,,,,,,,,
,9/30/1998,0.681,,,,,,,,,,,,,,,,,,
,6/30/1998,0.532,,,,,,,,,,,,,,,,,,
,3/31/1998,0.701,,,,,,,,,,,,,,,,,,
,12/31/1997,0.693,,,,,,,,,,,,,,,,,,
,9/30/1997,0.657,,,,,,,,,,,,,,,,,,
,6/30/1997,0.615,,,,,,,,,,,,,,,,,,
,3/31/1997,0.58,,,,,,,,,,,,,,,,,,
,12/31/1996,0.515,,,,,,,,,,,,,,,,,,
,9/30/1996,0.505,,,,,,,,,,,,,,,,,,
,6/28/1996,0.536,,,,,,,,,,,,,,,,,,
,3/29/1996,0.496,,,,,,,,,,,,,,,,,,
,12/29/1995,0.751,,,,,,,,,,,,,,,,,,
,9/29/1995,0.489,,,,,,,,,,,,,,,,,,
,6/30/1995,0.431,,,,,,,,,,,,,,,,,,
,3/31/1995,0.368,,,,,,,,,,,,,,,,,,
,12/30/1994,0.417,,,,,,,,,,,,,,,,,,
,9/30/1994,0.393,,,,,,,,,,,,,,,,,,
,6/30/1994,0.38,,,,,,,,,,,,,,,,,,
