CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,,9/30/2011,-0.78,,-0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2011,-0.7,,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2011,-0.3,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2010,-0.8,,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2010,-0.45,,-0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2010,-0.92,,-0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2010,-0.06,,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2009,-0.82,,-0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2009,0.09,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2009,-0.01,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2009,-0.08,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/31/2008,0.1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/30/2008,0.14,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/30/2008,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/31/2008,-0.05,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
