Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,
6/29/2007,0.59,,nan,,,,,,,,,,,,,,
3/30/2007,0.54,,nan,,,,,,,,,,,,,,
12/29/2006,0.78,,nan,,,,,,,,,,,,,,
9/29/2006,0.49,,nan,,,,,,,,,,,,,,
6/30/2006,0.46,,nan,,,,,,,,,,,,,,
3/31/2006,0.42,,nan,,,,,,,,,,,,,,
12/30/2005,0.69,,nan,,,,,,,,,,,,,,
9/30/2005,0.22,,nan,,,,,,,,,,,,,,
7/1/2005,0.46,,nan,,,,,,,,,,,,,,
4/1/2005,0.38,,nan,,,,,,,,,,,,,,
12/31/2004,0.56,,nan,,,,,,,,,,,,,,
10/1/2004,0.42,,nan,,,,,,,,,,,,,,
7/2/2004,0.49,,nan,,,,,,,,,,,,,,
4/2/2004,0.33,,nan,,,,,,,,,,,,,,
12/31/2003,0.43,,nan,,,,,,,,,,,,,,
9/30/2003,0.29,,nan,,,,,,,,,,,,,,
6/30/2003,0.33,,nan,,,,,,,,,,,,,,
3/31/2003,0.26,,nan,,,,,,,,,,,,,,
12/31/2002,0.22,,nan,,,,,,,,,,,,,,
9/30/2002,0.29,,nan,,,,,,,,,,,,,,
6/28/2002,0.28,,nan,,,,,,,,,,,,,,
3/28/2002,0.26,,nan,,,,,,,,,,,,,,
12/31/2001,-0.02,,nan,,,,,,,,,,,,,,
9/28/2001,0.28,,nan,,,,,,,,,,,,,,
6/29/2001,0.29,,nan,,,,,,,,,,,,,,
3/30/2001,0.28,,nan,,,,,,,,,,,,,,
12/29/2000,0.29,,nan,,,,,,,,,,,,,,
9/29/2000,0.28,,nan,,,,,,,,,,,,,,
6/30/2000,0.275,,nan,,,,,,,,,,,,,,
3/31/2000,0.225,,nan,,,,,,,,,,,,,,
12/31/1999,0.335,,nan,,,,,,,,,,,,,,
9/30/1999,0.215,,nan,,,,,,,,,,,,,,
6/30/1999,0.215,,nan,,,,,,,,,,,,,,
3/31/1999,0.1725,,nan,,,,,,,,,,,,,,
12/31/1998,0.2575,,nan,,,,,,,,,,,,,,
9/30/1998,0.1675,,nan,,,,,,,,,,,,,,
