CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,
,,3/31/2015,0.282717165,,,0.28,,0.285,,0.305,,0.28,,0.2825,,0.2775,,0.295,,,,
,,12/31/2014,0.305010759,,,0.295,,0.2975,,0.295,,0.29,,0.28,,0.2775,,0.275,,0.2825,,0.285
,,9/30/2014,0.284133363,,,0.285,,0.28,,0.275,,0.2725,,0.27,,0.2675,,0.2725,,0.2625,,
,,6/30/2014,0.271986388,,,0.2625,,0.26,,0.2575,,0.26,,0.2625,,0.2375,,,,,,
,,3/31/2014,0.245821126,,,0.2375,,0.24,,0.2425,,0.24,,0.245,,0.245,,,,,,
,,12/31/2013,0.259595735,,,0.2475,,0.245,,0.2475,,0.25,,0.26,,0.24,,,,,,
,,9/30/2013,0.24846287,,,0.2425,,0.24,,0.2425,,0.25,,0.2475,,0.235,,,,,,
,,6/28/2013,0.236271512,,,0.235,,0.2375,,0.215,,,,,,,,,,,,
,,3/28/2013,0.235087237,,,0.215,,0.2175,,0.225,,,,,,,,,,,,
,,12/28/2012,0.21555704,,,0.225,,0.2225,,,,,,,,,,,,,,
,,9/28/2012,0.225073034,,,0.2225,,,,,,,,,,,,,,,,
,,6/29/2012,0.215019,,,0.21,,,,,,,,,,,,,,,,
,,3/30/2012,0.191350268,,,0.19,,,,,,,,,,,,,,,,
,,12/30/2011,0.171289079,,,nan,,,,,,,,,,,,,,,,
,,9/30/2011,0.198167261,,,nan,,,,,,,,,,,,,,,,
,,6/30/2011,0.212784302,,,nan,,,,,,,,,,,,,,,,
,,3/31/2011,0.179866924,,,nan,,,,,,,,,,,,,,,,
,,12/31/2010,0.184564669,,,nan,,,,,,,,,,,,,,,,
,,9/30/2010,0.194734282,,,nan,,,,,,,,,,,,,,,,
,,6/30/2010,0.184311705,,,nan,,,,,,,,,,,,,,,,
,,3/31/2010,0.140044139,,,nan,,,,,,,,,,,,,,,,
,,12/31/2009,0.12596027,,,nan,,,,,,,,,,,,,,,,
,,9/30/2009,0.116304916,,,nan,,,,,,,,,,,,,,,,
,,6/30/2009,0.107788838,,,nan,,,,,,,,,,,,,,,,
,,3/31/2009,0.107467729,,,nan,,,,,,,,,,,,,,,,
,,12/31/2008,0.14,,,nan,,,,,,,,,,,,,,,,
,,9/30/2008,0.1575,,,nan,,,,,,,,,,,,,,,,
,,6/30/2008,0.1525,,,nan,,,,,,,,,,,,,,,,
,,3/31/2008,0.135,,,nan,,,,,,,,,,,,,,,,
,,12/31/2007,0.1375,,,nan,,,,,,,,,,,,,,,,
,,9/28/2007,0.125,,,nan,,,,,,,,,,,,,,,,
,,6/29/2007,0.115,,,nan,,,,,,,,,,,,,,,,
,,3/30/2007,0.1075,,,nan,,,,,,,,,,,,,,,,
,,12/29/2006,0.1075,,,nan,,,,,,,,,,,,,,,,
,,9/29/2006,0.09,,,nan,,,,,,,,,,,,,,,,
,,6/30/2006,0.0725,,,nan,,,,,,,,,,,,,,,,
,,3/31/2006,0.0775,,,nan,,,,,,,,,,,,,,,,
,,12/30/2005,0.07625,,,nan,,,,,,,,,,,,,,,,
,,9/30/2005,0.07125,,,nan,,,,,,,,,,,,,,,,
,,6/30/2005,0.0725,,,nan,,,,,,,,,,,,,,,,
,,3/31/2005,0.065,,,nan,,,,,,,,,,,,,,,,
,,12/31/2004,0.06375,,,nan,,,,,,,,,,,,,,,,
,,9/30/2004,0.05875,,,nan,,,,,,,,,,,,,,,,
,,6/30/2004,0.05625,,,nan,,,,,,,,,,,,,,,,
,,3/31/2004,0.05,,,nan,,,,,,,,,,,,,,,,
,,12/31/2003,0.04625,,,nan,,,,,,,,,,,,,,,,
,,9/30/2003,0.04,,,nan,,,,,,,,,,,,,,,,
,,6/30/2003,0.0275,,,nan,,,,,,,,,,,,,,,,
,,3/31/2003,0.03375,,,nan,,,,,,,,,,,,,,,,
,,12/31/2002,0.0325,,,nan,,,,,,,,,,,,,,,,
,,9/30/2002,0.03,,,nan,,,,,,,,,,,,,,,,
,,6/28/2002,0.02875,,,nan,,,,,,,,,,,,,,,,
,,3/28/2002,0.025,,,nan,,,,,,,,,,,,,,,,
,,12/31/2001,0.023125,,,nan,,,,,,,,,,,,,,,,
,,9/28/2001,0.024375,,,nan,,,,,,,,,,,,,,,,
,,6/29/2001,0.033125,,,nan,,,,,,,,,,,,,,,,
,,3/30/2001,0.041875,,,nan,,,,,,,,,,,,,,,,
,,12/29/2000,0.0475,,,nan,,,,,,,,,,,,,,,,
,,9/29/2000,0.041875,,,nan,,,,,,,,,,,,,,,,
,,6/30/2000,0.038125,,,nan,,,,,,,,,,,,,,,,
,,3/31/2000,0.03,,,nan,,,,,,,,,,,,,,,,
,,12/31/1999,0.00875,,,nan,,,,,,,,,,,,,,,,
,,9/30/1999,0.02,,,nan,,,,,,,,,,,,,,,,
,,6/30/1999,0.018125,,,nan,,,,,,,,,,,,,,,,
,,3/31/1999,0.014375,,,nan,,,,,,,,,,,,,,,,
,,12/31/1998,0.014375,,,nan,,,,,,,,,,,,,,,,
,,9/30/1998,0.014375,,,nan,,,,,,,,,,,,,,,,
,,6/30/1998,0.018125,,,nan,,,,,,,,,,,,,,,,
,,3/31/1998,0.016875,,,nan,,,,,,,,,,,,,,,,
,,12/31/1997,-0.0040625,,,nan,,,,,,,,,,,,,,,,
,,9/30/1997,0.015,,,nan,,,,,,,,,,,,,,,,
,,6/30/1997,0.0028125,,,nan,,,,,,,,,,,,,,,,
,,3/31/1997,0.0121875,,,nan,,,,,,,,,,,,,,,,
,,12/31/1996,0.0115625,,,nan,,,,,,,,,,,,,,,,
,,9/30/1996,0.01125,,,nan,,,,,,,,,,,,,,,,
,,6/28/1996,0.0115625,,,nan,,,,,,,,,,,,,,,,
,,3/29/1996,0.01125,,,nan,,,,,,,,,,,,,,,,
,,12/29/1995,0.0109375,,,nan,,,,,,,,,,,,,,,,
,,9/29/1995,0.010625,,,nan,,,,,,,,,,,,,,,,
,,6/30/1995,0.010625,,,nan,,,,,,,,,,,,,,,,
,,3/31/1995,0.009375,,,nan,,,,,,,,,,,,,,,,
,,12/30/1994,0.00875,,,nan,,,,,,,,,,,,,,,,
,,9/30/1994,0.0078125,,,nan,,,,,,,,,,,,,,,,
,,6/30/1994,0.006875,,,nan,,,,,,,,,,,,,,,,
