CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,
,,8/31/2010,0.085747999,,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,5/28/2010,0.227040744,,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,2/26/2010,0.259986395,,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,11/30/2009,0.23942425,,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,8/31/2009,0.20751143,,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,5/29/2009,0.195454862,,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,2/27/2009,0.166763058,,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,11/28/2008,0.13,,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,8/29/2008,0.19,,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,5/30/2008,0.18,,,nan,,,,,,,,,,,,,,,,,,,,,,,,
,,2/29/2008,0.18,,,nan,,,,,,,,,,,,,,,,,,,,,,,,
