CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9/5/2024,7/30/2024,-0.09,0.05,,0.01,,0.01,,0.01,,0.01,,0.01,,0.02,,0.02,,0.02,,,,,,,,,,,,,,,,,,,
,6/6/2024,4/30/2024,-0.1,0.03,,0.01,,0.01,,0.01,,-0.01,,-0.01,,-0.01,,,,,,,,,,,,,,,,,,,,,,,
,3/7/2024,1/30/2024,-0.21,0.04,,0.03,,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11/30/2023,10/30/2023,-0.08,0.04,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/31/2023,7/30/2023,-0.11,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/1/2023,4/30/2023,-0.13,-0.02,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/2/2023,1/30/2023,-0.1,-0.02,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12/1/2022,10/30/2022,-0.11,-0.02,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/31/2022,7/30/2022,-0.13,-0.04,,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6/2/2022,4/30/2022,-0.14,-0.05,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3/2/2022,1/31/2022,-0.68,-0.05,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/29/2021,-0.13,-0.12,,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/30/2021,-0.13,-0.12,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/2021,-0.16,-0.15,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/29/2021,-0.15,-0.13,,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/30/2020,-0.26,-0.26,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/31/2020,-0.26,-0.26,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/2020,-0.26,-0.26,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1/31/2020,-0.24,-0.24,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/31/2019,-0.24,-0.24,,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7/31/2019,-0.25,-0.25,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4/30/2019,-0.25,-0.25,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
