CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,,,,
,,8/29/2014,0.420617944,,,0.47,,0.46,,0.48,0.51,,,,,,,,
,,5/30/2014,0.277347175,,,0.46,,0.45,,0.43,0.44,,,,,,,,
,,2/28/2014,0.325211882,,,0.34,,0.39,,0.41,,,,,,,,,
,,11/29/2013,-1.36787186,,,0.4,,0.5,,0.38,,,,,,,,,
,,8/30/2013,0.37919106,,,0.38,,0.46,,0.44,0.36,,,,,,,,
,,5/31/2013,0.395582206,,,0.36,,0.35,,0.37,0.28,,,,,,,,
,,3/1/2013,0.280217762,,,0.28,,0.29,,0.34,,,,,,,,,
,,11/30/2012,0.141353056,,,0.39,,0.39,,,,,,,,,,,
,,8/31/2012,0.341205734,,,0.39,,,,,,,,,,,,,
,,6/1/2012,0.204836252,,,0.3,,,,,,,,,,,,,
,,3/2/2012,0.254727608,,,0.27,,,,,,,,,,,,,
,,12/2/2011,0.405906811,,,,,,,,,,,,,,,,
,,9/2/2011,0.421503678,,,,,,,,,,,,,,,,
,,5/27/2011,0.29475448,,,,,,,,,,,,,,,,
,,2/25/2011,0.344806971,,,,,,,,,,,,,,,,
,,11/26/2010,0.310395343,,,,,,,,,,,,,,,,
,,8/27/2010,0.278233719,,,,,,,,,,,,,,,,
,,5/28/2010,0.036527858,,,,,,,,,,,,,,,,
,,2/26/2010,0.144199837,,,,,,,,,,,,,,,,
,,11/27/2009,0.166974288,,,,,,,,,,,,,,,,
,,8/28/2009,0.14775822,,,,,,,,,,,,,,,,
,,5/28/2009,0.132024116,,,,,,,,,,,,,,,,
,,2/26/2009,-0.097052475,,,,,,,,,,,,,,,,
,,11/26/2008,0.602375343,,,,,,,,,,,,,,,,
,,8/29/2008,0.59614935,,,,,,,,,,,,,,,,
,,5/30/2008,0.71,,,,,,,,,,,,,,,,
,,2/28/2008,0.65,,,,,,,,,,,,,,,,
,,11/30/2007,0.67,,,,,,,,,,,,,,,,
,,8/31/2007,0.54,,,,,,,,,,,,,,,,
,,5/31/2007,0.5,,,,,,,,,,,,,,,,
,,2/28/2007,0.5,,,,,,,,,,,,,,,,
,,11/30/2006,0.56,,,,,,,,,,,,,,,,
,,8/31/2006,0.43,,,,,,,,,,,,,,,,
,,5/31/2006,0.38,,,,,,,,,,,,,,,,
,,2/28/2006,0.33,,,,,,,,,,,,,,,,
,,11/30/2005,0.4,,,,,,,,,,,,,,,,
,,8/31/2005,0.34,,,,,,,,,,,,,,,,
,,5/31/2005,0.31,,,,,,,,,,,,,,,,
,,2/28/2005,0.24,,,,,,,,,,,,,,,,
,,11/30/2004,0.22,,,,,,,,,,,,,,,,
,,8/31/2004,0.2,,,,,,,,,,,,,,,,
,,5/28/2004,0.27,,,,,,,,,,,,,,,,
,,2/27/2004,0.11,,,,,,,,,,,,,,,,
,,11/28/2003,0.12,,,,,,,,,,,,,,,,
,,8/29/2003,0.08,,,,,,,,,,,,,,,,
,,5/30/2003,-0.02,,,,,,,,,,,,,,,,
,,2/28/2003,0.04,,,,,,,,,,,,,,,,
,,11/29/2002,0.16,,,,,,,,,,,,,,,,
,,8/30/2002,0.13,,,,,,,,,,,,,,,,
,,5/31/2002,-0.25,,,,,,,,,,,,,,,,
,,2/28/2002,-0.15,,,,,,,,,,,,,,,,
,,11/30/2001,-0.3,,,,,,,,,,,,,,,,
,,8/31/2001,-0.04,,,,,,,,,,,,,,,,
,,5/31/2001,0.43,,,,,,,,,,,,,,,,
,,2/28/2001,0.43,,,,,,,,,,,,,,,,
,,11/30/2000,0.54,,,,,,,,,,,,,,,,
,,8/31/2000,0.41,,,,,,,,,,,,,,,,
,,5/31/2000,0.5,,,,,,,,,,,,,,,,
,,2/28/2000,0.4,,,,,,,,,,,,,,,,
,,11/30/1999,0.41,,,,,,,,,,,,,,,,
,,8/31/1999,0.43,,,,,,,,,,,,,,,,
,,5/28/1999,0.48,,,,,,,,,,,,,,,,
,,2/26/1999,0.35,,,,,,,,,,,,,,,,
,,11/30/1998,0.45,,,,,,,,,,,,,,,,
,,8/31/1998,0.39,,,,,,,,,,,,,,,,
,,5/29/1998,0.4,,,,,,,,,,,,,,,,
,,2/27/1998,0.36,,,,,,,,,,,,,,,,
,,11/28/1997,0.33,,,,,,,,,,,,,,,,
,,8/29/1997,0.3,,,,,,,,,,,,,,,,
,,5/30/1997,0.29,,,,,,,,,,,,,,,,
,,2/28/1997,0.14,,,,,,,,,,,,,,,,
,,11/29/1996,0.18,,,,,,,,,,,,,,,,
,,8/30/1996,0.16,,,,,,,,,,,,,,,,
,,5/31/1996,0.17,,,,,,,,,,,,,,,,
,,2/29/1996,0.115,,,,,,,,,,,,,,,,
,,11/30/1995,0.05,,,,,,,,,,,,,,,,
,,8/31/1995,0.12,,,,,,,,,,,,,,,,
,,5/31/1995,-0.0925,,,,,,,,,,,,,,,,
,,2/28/1995,0.0425,,,,,,,,,,,,,,,,
,,11/30/1994,0.0125,,,,,,,,,,,,,,,,
,,8/31/1994,0.08,,,,,,,,,,,,,,,,
,,5/31/1994,0.105,,,,,,,,,,,,,,,,
,,2/28/1994,0.11,,,,,,,,,,,,,,,,
,,11/30/1993,0.11,,,,,,,,,,,,,,,,
,,8/31/1993,0.075,,,,,,,,,,,,,,,,
,,5/28/1993,0.0875,,,,,,,,,,,,,,,,
,,2/26/1993,0.0725,,,,,,,,,,,,,,,,
,,11/30/1992,0.035,,,,,,,,,,,,,,,,
,,8/31/1992,0.025,,,,,,,,,,,,,,,,
,,5/29/1992,-0.1775,,,,,,,,,,,,,,,,
,,2/28/1992,0.04,,,,,,,,,,,,,,,,
,,11/29/1991,0.0525,,,,,,,,,,,,,,,,
