CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,,12/29/2000,0.026666667,,,,,,,,,,,,,,,,,,
,,9/29/2000,-0.013333333,,,,,,,,,,,,,,,,,,
,,6/30/2000,0.08,,,,,,,,,,,,,,,,,,
,,3/31/2000,0.156666667,,,,,,,,,,,,,,,,,,
,,12/31/1999,0.01,,,,,,,,,,,,,,,,,,
,,9/30/1999,-0.046666667,,,,,,,,,,,,,,,,,,
,,6/30/1999,0.063333333,,,,,,,,,,,,,,,,,,
,,3/31/1999,0.086666667,,,,,,,,,,,,,,,,,,
,,12/31/1998,-0.036666667,,,,,,,,,,,,,,,,,,
,,9/30/1998,-0.2,,,,,,,,,,,,,,,,,,
,,6/30/1998,0.053333333,,,,,,,,,,,,,,,,,,
,,3/31/1998,0.066666667,,,,,,,,,,,,,,,,,,
,,12/31/1997,0.016666667,,,,,,,,,,,,,,,,,,
,,9/30/1997,0.016666667,,,,,,,,,,,,,,,,,,
,,6/30/1997,0.06,,,,,,,,,,,,,,,,,,
,,3/31/1997,0.073333333,,,,,,,,,,,,,,,,,,
,,12/31/1996,0.02,,,,,,,,,,,,,,,,,,
,,9/30/1996,0.02,,,,,,,,,,,,,,,,,,
,,6/28/1996,0.036666667,,,,,,,,,,,,,,,,,,
,,3/29/1996,0.053333333,,,,,,,,,,,,,,,,,,
,,12/29/1995,-0.113333333,,,,,,,,,,,,,,,,,,
,,9/29/1995,-0.05,,,,,,,,,,,,,,,,,,
,,6/30/1995,0.04,,,,,,,,,,,,,,,,,,
