CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,,,,,
,2/7/2024,12/30/2023,5.65,18.97,,20.15,,20.27,,20.66,,20.35,,,,,,
,11/16/2023,9/30/2023,10.77,15.63,,15.47,,15.26,,14.45,,14.55,,,,CNBC,USD to rnb,Paste this
,8/10/2023,6/30/2023,13.3,17.37,,14.04,,13.92,,14.76,,15.72,,,,2.22,7.08,15.7176
,5/18/2023,3/30/2023,9,10.71,,9.78,,10.58,,11.04,,11.3,,,,3.13,7.17,22.4421
,2/23/2023,12/30/2022,17.91,19.26,,16.27,,16.42,,16.52,,17.44,,,,2.07,7.17,14.8419
,11/17/2022,9/30/2022,-7.77,12.92,,11.71,,11.26,,11.28,,10.68,,,,2.19,7.17,15.7023
,8/4/2022,6/30/2022,8.51,11.68,,10.34,,10.26,,12.18,,13.51,,,,1.42,7.17,10.1814
,5/26/2022,3/31/2022,-6.07,7.95,,7.41,,8.94,,9.22,,9.42,,,,1.99,7.17,14.2683
,2/24/2022,12/31/2021,10.19,16.87,,16.4,,17.27,,19.5,,20.15,,,,0.62,7.17,4.4454
,11/18/2021,9/30/2021,1.97,11.2,,12.62,,13.55,,13.51,,14.56,,,,,,
,8/3/2021,6/30/2021,16.38,16.6,,14.53,,14.54,,15.91,,16.94,,,,,,
,5/13/2021,3/31/2021,-1.99,10.32,,11.59,,12.7,,12.68,,13.02,,,,,,
,2/2/2021,12/31/2020,28.85,22.03,,21.45,,21.61,,20.99,,21.06,,,,,,
,11/5/2020,9/30/2020,10.48,17.97,,14.62,,14.52,,13.85,,14.11,,,,,,
,8/20/2020,6/30/2020,17.36,14.82,,13.79,,13.32,,13.26,,14.21,,,,,,
,5/22/2020,3/31/2020,1.16,8.2,,6.7,,9.4,,9.94,,9.72,,,,,,
,2/13/2020,12/31/2019,19.55,18.19,,15.75,,15.93,,16.05,,15.53,,,,,,
,11/1/2019,9/30/2019,27.51,13.1,,10.6,,9.94,,9.94,,10.02,,,,,,
,8/15/2019,6/28/2019,8.06833713,12.55,,10.3,,10.36,,10.4,,10.38,,,,,,
,5/15/2019,3/29/2019,9.84,8.57,,6.57,,6.68,,6.67,,6.57,,,,,,
,1/30/2019,12/31/2018,12.64422341,12.19,,11.28,,1.680446927,,1.683426443,,1.684916201,,,,,,
,11/2/2018,9/28/2018,7.622907154,9.6,,7.41,,1.103910615,,1.127746741,,1.224581006,,,,,,
,8/23/2018,6/29/2018,3.306052531,8.04,,8.18,,1.218621974,,1.242458101,,8.44,,,,,,
,5/4/2018,3/29/2018,2.886979763,,,5.45,,0.811918063,,0.79255121,,0.814897579,,,,,,
,2/1/2018,12/29/2017,8.922370937,,,10.56,,1.573184358,,1.5716946,,1.574674115,,,,,,
,11/2/2017,9/29/2017,6.777138473,,,6.85,,1.034649428,,1.049753799,,0.984805003,,,,,,
,8/17/2017,6/30/2017,5.649480569,,,6.28,,0.93556797,,0.928119181,,0.908752328,,,,,,
,5/8/2017,3/31/2017,4.125145293,,,4.48,,0.667411546,,0.719553073,,0.69273743,,,,,,
,1/24/2017,12/30/2016,6.944768573,,,7.74,,1.153072626,,1.147113594,,1.136685289,,,,,,
,11/2/2016,9/30/2016,2.970771629,,,4.68,,0.697206704,,0.695716946,,0.70018622,,,,,,
,8/11/2016,6/30/2016,2.940031153,,,4.16,,0.619739292,,0.654003724,,0.659962756,,,,,,
,,3/31/2016,2.107227023,,,3.6,,0.536312849,,0.537802607,,0.551210428,,,,,,
,,12/31/2015,4.901176471,,,5.78,,6.71,,0.9,,1.02,,,,,,
,,9/30/2015,8.874414977,,,3.42,,0.56,,0.6,,0.65,,,,,,
,,6/30/2015,11.91769706,,,3.67,,0.62,,0.65,,0.63,,,,,,
,,3/31/2015,1.109864603,,,2.61,,0.45,,0.48,,0.49,,,,,,
,,12/31/2014,2.29366306,,,4.66,,0.75,,0.76,,,,,,,,
,,9/30/2014,1.242821985,,,0.45,,,,,,,,,,,,
,,6/30/2014,5.06316653,,,,,,,,,,,,,,,
,,3/31/2014,2.345746932,,,,,,,,,,,,,,,
,,12/31/2013,3.527955612,,,,,,,,,,,,,,,
,,9/30/2013,2.107466552,,,,,,,,,,,,,,,
