CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2.1,Q_EPS_Projections_Date_2.1,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,9/30/2013,0.341402531,,,0.4,,0.35,,,,,,,,
,,6/28/2013,0.234000912,,,0.36,,0.34,,0.31,,,,,,
,,3/28/2013,0.337504933,,,0.31,,0.33,,0.35,,,,,,
,,12/31/2012,0.376079415,,,0.35,,0.36,,0.34,,,,,,
,,9/28/2012,0.517785265,,,0.34,,,,,,,,,,
,,6/29/2012,0.095544945,,,,,,,,,,,,,
,,3/30/2012,0.27658574,,,,,,,,,,,,,
,,12/30/2011,0.280226087,,,,,,,,,,,,,
,,9/30/2011,0.439339891,,,,,,,,,,,,,
,,6/30/2011,0.383223514,,,,,,,,,,,,,
,,3/31/2011,0.178121333,,,,,,,,,,,,,
,,12/31/2010,0.074790041,,,,,,,,,,,,,
,,9/30/2010,0.305925149,,,,,,,,,,,,,
,,6/30/2010,0.215061701,,,,,,,,,,,,,
,,3/31/2010,0.209300128,,,,,,,,,,,,,
,,12/31/2009,0.311925035,,,,,,,,,,,,,
,,9/30/2009,0.321500188,,,,,,,,,,,,,
,,6/30/2009,0.251343981,,,,,,,,,,,,,
,,3/31/2009,0.234261275,,,,,,,,,,,,,
,,12/31/2008,0.216201297,,,,,,,,,,,,,
,,9/30/2008,0.290038557,,,,,,,,,,,,,
,,6/30/2008,0.283874026,,,,,,,,,,,,,
,,3/31/2008,0.267452593,,,,,,,,,,,,,
,,12/31/2007,0.17,,,,,,,,,,,,,
,,9/28/2007,0.2,,,,,,,,,,,,,
,,6/29/2007,0.112,,,,,,,,,,,,,
,,3/30/2007,0.24,,,,,,,,,,,,,
,,12/29/2006,0.31,,,,,,,,,,,,,
,,9/29/2006,0.19,,,,,,,,,,,,,
,,6/30/2006,0.16,,,,,,,,,,,,,
,,3/31/2006,0.06,,,,,,,,,,,,,
,,12/30/2005,0.14,,,,,,,,,,,,,
,,9/30/2005,0.16,,,,,,,,,,,,,
,,6/30/2005,0.05,,,,,,,,,,,,,
