CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Adjusted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,,
,7/13/2021,4/30/2021,0.975352113,0.6,,1.21,,-0.21,,-0.17,,,,,,,,,,,,,
,,1/29/2021,3.030281675,,,2.91,,1.85,,1.71,,,,,,,,,,,,,
,,10/30/2020,1.169611307,,,0.09,,0.06,,-0.15,,,,,,,,,,,,,
,,7/31/2020,-0.176258993,,,-0.42,,-0.43,,-0.26,,,,,,,,,,,,,
,,5/1/2020,-1.072202166,,,-0.72,,-0.58,,0.11,,,,,,,,,,,,,
,,1/31/2020,-0.695374299,,,1.86,,1.9,,2,,,,,,,,,,,,,
,,11/1/2019,-0.913043478,,,0.02,,0.08,,0.16,,,,,,,,,,,,,
,,8/2/2019,0.136690647,,,0.2,,0.34,,0.35,,,,,,,,,,,,,
,,5/3/2019,0.143884892,,,0,,0.14,,,,,,,,,,,,,,,
,,2/1/2019,1.942900318,,,2.07,,2.02,,1.99,,,,,,,,,,,,,
,,11/2/2018,-0.156363636,,,0.15,,0.05,,0.36,,,,,,,,,,,,,
,,7/31/2018,0.35483871,,,0.34,,0.53,,,,,,,,,,,,,,,
,,4/30/2018,0.170212766,,,0.16,,0.32,,,,,,,,,,,,,,,
,,1/31/2018,2.31358885,,,2.05,,2.04,,,,,,,,,,,,,,,
,,10/27/2017,0.301754386,,,0.3,,0.4,,0.47,,,,,,,,,,,,,
,,7/28/2017,0.480968858,,,0.44,,0.63,,0.65,,,,,,,,,,,,,
,,4/28/2017,0.325259516,,,0.29,,0.26,,0.49,,,,,,,,,,,,,
,,1/27/2017,2.176697183,,,1.9,,1.87,,1.97,,,,,,,,,,,,,
,,10/28/2016,0.418720824,,,0.4,,0.41,,0.46,,,,,,,,,,,,,
,,7/29/2016,0.867471287,,,0.59,,0.6,,0.68,,,,,,,,,,,,,
,,4/29/2016,0.520209852,,,0.55,,0.59,,0.58,,,,,,,,,,,,,
,,1/29/2016,2.154718912,,,2.05,,,,,,,,,,,,,,,,,
,,10/30/2015,0.554054054,,,0.52,,,,,,,,,,,,,,,,,
,,7/31/2015,0.683501684,,,0.68,,,,,,,,,,,,,,,,,
,,5/1/2015,0.836120401,,,0.6,,,,,,,,,,,,,,,,,
,,1/30/2015,1.889379347,,,1.8,,,,,,,,,,,,,,,,,
,,10/31/2014,0.44295302,,,0.39,,,,,,,,,,,,,,,,,
,,7/31/2014,0.632996633,,,0.62,,,,,,,,,,,,,,,,,
,,4/30/2014,0.528619529,,,0.52,,,,,,,,,,,,,,,,,
,,1/31/2014,1.64983165,,,1.61,,,,,,,,,,,,,,,,,
,,11/1/2013,0.30976431,,,0.28,,,,,,,,,,,,,,,,,
,,8/2/2013,0.601351351,,,0.6,,,,,,,,,,,,,,,,,
,,4/30/2013,0.484745763,,,0.46,,,,,,,,,,,,,,,,,
,,1/30/2013,1.392565914,,,1.74,,,,,,,,,,,,,,,,,
,,10/26/2012,0.25170068,,,0.24,,,,,,,,,,,,,,,,,
,,7/30/2012,0.483108108,,,0.48,,,,,,,,,,,,,,,,,
,,4/30/2012,0.415282392,,,0.4,,,,,,,,,,,,,,,,,
,,1/30/2012,1.01,,,nan,,,,,,,,,,,,,,,,,
,,10/28/2011,0.31,,,nan,,,,,,,,,,,,,,,,,
,,7/29/2011,0.73,,,nan,,,,,,,,,,,,,,,,,
,,4/29/2011,0.5,,,nan,,,,,,,,,,,,,,,,,
,,1/28/2011,1.42,,,nan,,,,,,,,,,,,,,,,,
,,10/29/2010,0.18,,,nan,,,,,,,,,,,,,,,,,
,,7/30/2010,0.54,,,nan,,,,,,,,,,,,,,,,,
,,4/30/2010,0.34,,,nan,,,,,,,,,,,,,,,,,
,,1/29/2010,1.08,,,nan,,,,,,,,,,,,,,,,,
,,10/30/2009,0.05,,,nan,,,,,,,,,,,,,,,,,
,,7/31/2009,0.23,,,nan,,,,,,,,,,,,,,,,,
,,4/30/2009,0.01,,,nan,,,,,,,,,,,,,,,,,
,,1/30/2009,0.03,,,nan,,,,,,,,,,,,,,,,,
,,10/31/2008,0.01,,,nan,,,,,,,,,,,,,,,,,
,,7/31/2008,0.3,,,nan,,,,,,,,,,,,,,,,,
,,4/30/2008,0.28,,,nan,,,,,,,,,,,,,,,,,
,,1/31/2008,1.21,,,nan,,,,,,,,,,,,,,,,,
,,10/31/2007,0.03,,,nan,,,,,,,,,,,,,,,,,
,,7/31/2007,0.67,,,nan,,,,,,,,,,,,,,,,,
,,4/30/2007,0.13,,,nan,,,,,,,,,,,,,,,,,
,,1/31/2007,1.1,,,nan,,,,,,,,,,,,,,,,,
,,10/31/2006,0.06,,,nan,,,,,,,,,,,,,,,,,
,,7/31/2006,0.28,,,nan,,,,,,,,,,,,,,,,,
,,4/28/2006,0.25,,,nan,,,,,,,,,,,,,,,,,
,,1/31/2006,1.35,,,nan,,,,,,,,,,,,,,,,,
,,10/31/2005,-0.03,,,nan,,,,,,,,,,,,,,,,,
,,7/29/2005,0.27,,,nan,,,,,,,,,,,,,,,,,
,,4/29/2005,0.06,,,nan,,,,,,,,,,,,,,,,,
,,1/31/2005,0.96,,,nan,,,,,,,,,,,,,,,,,
,,10/29/2004,0.16,,,nan,,,,,,,,,,,,,,,,,
,,7/30/2004,0.31,,,nan,,,,,,,,,,,,,,,,,
,,4/30/2004,0.19,,,nan,,,,,,,,,,,,,,,,,
,,1/30/2004,0.82,,,nan,,,,,,,,,,,,,,,,,
,,10/31/2003,0.25,,,nan,,,,,,,,,,,,,,,,,
,,7/31/2003,0.19,,,nan,,,,,,,,,,,,,,,,,
,,4/30/2003,0.19,,,nan,,,,,,,,,,,,,,,,,
,,1/31/2003,0.67,,,nan,,,,,,,,,,,,,,,,,
,,10/31/2002,0.03,,,nan,,,,,,,,,,,,,,,,,
,,7/31/2002,0.16,,,nan,,,,,,,,,,,,,,,,,
,,4/30/2002,0.1,,,nan,,,,,,,,,,,,,,,,,
,,1/31/2002,0.63,,,nan,,,,,,,,,,,,,,,,,
,,10/31/2001,0.21,,,nan,,,,,,,,,,,,,,,,,
,,7/31/2001,0.16,,,nan,,,,,,,,,,,,,,,,,
,,4/30/2001,0.07,,,nan,,,,,,,,,,,,,,,,,
,,1/31/2001,0.54,,,nan,,,,,,,,,,,,,,,,,
,,10/31/2000,0.11,,,nan,,,,,,,,,,,,,,,,,
,,7/31/2000,0.17,,,nan,,,,,,,,,,,,,,,,,
,,4/28/2000,0.14,,,nan,,,,,,,,,,,,,,,,,
,,1/31/2000,0.695,,,nan,,,,,,,,,,,,,,,,,
,,10/29/1999,0.09,,,nan,,,,,,,,,,,,,,,,,
,,7/30/1999,0.12,,,nan,,,,,,,,,,,,,,,,,
,,4/30/1999,0.095,,,nan,,,,,,,,,,,,,,,,,
,,1/29/1999,0.755,,,nan,,,,,,,,,,,,,,,,,
,,10/30/1998,0.085,,,nan,,,,,,,,,,,,,,,,,
,,7/31/1998,3.465,,,nan,,,,,,,,,,,,,,,,,
,,4/30/1998,0.14,,,nan,,,,,,,,,,,,,,,,,
,,1/30/1998,0.16,,,nan,,,,,,,,,,,,,,,,,
,,10/31/1997,0.145,,,nan,,,,,,,,,,,,,,,,,
,,7/31/1997,0.05,,,nan,,,,,,,,,,,,,,,,,
,,4/30/1997,0.045,,,nan,,,,,,,,,,,,,,,,,
,,1/31/1997,0.365,,,nan,,,,,,,,,,,,,,,,,
,,10/31/1996,0.295,,,nan,,,,,,,,,,,,,,,,,
,,7/31/1996,0.06,,,nan,,,,,,,,,,,,,,,,,
,,4/30/1996,0.045,,,nan,,,,,,,,,,,,,,,,,
,,1/31/1996,0.4,,,nan,,,,,,,,,,,,,,,,,
,,10/31/1995,0.915,,,nan,,,,,,,,,,,,,,,,,
,,7/31/1995,0.07,,,nan,,,,,,,,,,,,,,,,,
,,4/28/1995,0.055,,,nan,,,,,,,,,,,,,,,,,
,,1/31/1995,0.36,,,nan,,,,,,,,,,,,,,,,,
,,10/31/1994,0.125,,,nan,,,,,,,,,,,,,,,,,
,,7/29/1994,0.075,,,nan,,,,,,,,,,,,,,,,,
