Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,,,,,,,,,,,
3/31/2015,0.448840382,,0.4,,0.5,,0.53,,0.54,,0.52,,0.52,,,,,,
12/31/2014,0.428961749,,0.46,,0.47,,0.5,,0.49,,0.46,,0.42,,,,,,
9/30/2014,0.426997245,,0.43,,0.44,,0.49,,0.46,,0.43,,0.47,,,,,,
6/30/2014,0.519337017,,0.47,,0.48,,0.41,,,,,,,,,,,,
3/31/2014,0.374827109,,0.41,,0.49,,0.38,,,,,,,,,,,,
12/31/2013,0.326869806,,0.38,,0.36,,,,,,,,,,,,,,
9/30/2013,0.37535014,,0.36,,0.345,,0.41,,,,,,,,,,,,
6/28/2013,0.426553672,,0.41,,0.415,,0.43,,,,,,,,,,,,
3/28/2013,0.451566952,,0.43,,0.425,,0.28,,,,,,,,,,,,
12/31/2012,0.301428571,,0.28,,0.285,,0.25,,,,,,,,,,,,
9/28/2012,0.213256484,,0.25,,,,,,,,,,,,,,,,
6/29/2012,0.213114754,,0.345,,,,,,,,,,,,,,,,
3/30/2012,0.393530997,,0.415,,,,,,,,,,,,,,,,
12/30/2011,0.253369272,,nan,,,,,,,,,,,,,,,,
9/30/2011,0.22972973,,nan,,,,,,,,,,,,,,,,
6/30/2011,0.271621622,,nan,,,,,,,,,,,,,,,,
3/31/2011,0.266304348,,nan,,,,,,,,,,,,,,,,
12/31/2010,0.081743869,,nan,,,,,,,,,,,,,,,,
9/30/2010,0.241144414,,nan,,,,,,,,,,,,,,,,
6/30/2010,0.295640327,,nan,,,,,,,,,,,,,,,,
3/31/2010,0.271232877,,nan,,,,,,,,,,,,,,,,
12/31/2009,0.295,,nan,,,,,,,,,,,,,,,,
9/30/2009,0.25,,nan,,,,,,,,,,,,,,,,
6/30/2009,0.285,,nan,,,,,,,,,,,,,,,,
3/31/2009,0.23,,nan,,,,,,,,,,,,,,,,
12/31/2008,0.26,,nan,,,,,,,,,,,,,,,,
9/30/2008,0.2,,nan,,,,,,,,,,,,,,,,
6/30/2008,0.41,,nan,,,,,,,,,,,,,,,,
3/31/2008,0.38,,nan,,,,,,,,,,,,,,,,
12/31/2007,0.095,,nan,,,,,,,,,,,,,,,,
9/28/2007,0.18,,nan,,,,,,,,,,,,,,,,
6/29/2007,0.365,,nan,,,,,,,,,,,,,,,,
3/30/2007,0.385,,nan,,,,,,,,,,,,,,,,
12/29/2006,0.22,,nan,,,,,,,,,,,,,,,,
9/29/2006,0.195,,nan,,,,,,,,,,,,,,,,
6/30/2006,0.31,,nan,,,,,,,,,,,,,,,,
3/31/2006,0.275,,nan,,,,,,,,,,,,,,,,
12/30/2005,0.19,,nan,,,,,,,,,,,,,,,,
9/30/2005,0.12,,nan,,,,,,,,,,,,,,,,
6/30/2005,0.2,,nan,,,,,,,,,,,,,,,,
3/31/2005,0.21,,nan,,,,,,,,,,,,,,,,
12/31/2004,0.005,,nan,,,,,,,,,,,,,,,,
9/30/2004,0.07,,nan,,,,,,,,,,,,,,,,
6/30/2004,0.125,,nan,,,,,,,,,,,,,,,,
3/31/2004,0.115,,nan,,,,,,,,,,,,,,,,
12/31/2003,0.285,,nan,,,,,,,,,,,,,,,,
9/30/2003,0.07,,nan,,,,,,,,,,,,,,,,
6/30/2003,0.12,,nan,,,,,,,,,,,,,,,,
3/31/2003,0.065,,nan,,,,,,,,,,,,,,,,
12/31/2002,0.06,,nan,,,,,,,,,,,,,,,,
9/30/2002,0.0625,,nan,,,,,,,,,,,,,,,,
6/28/2002,0.0925,,nan,,,,,,,,,,,,,,,,
3/28/2002,0.105,,nan,,,,,,,,,,,,,,,,
12/31/2001,-0.34,,nan,,,,,,,,,,,,,,,,
9/28/2001,0.1025,,nan,,,,,,,,,,,,,,,,
6/29/2001,0.055,,nan,,,,,,,,,,,,,,,,
3/30/2001,0.095,,nan,,,,,,,,,,,,,,,,
12/29/2000,-0.2275,,nan,,,,,,,,,,,,,,,,
9/29/2000,0.08,,nan,,,,,,,,,,,,,,,,
6/30/2000,0.0875,,nan,,,,,,,,,,,,,,,,
3/31/2000,0.0875,,nan,,,,,,,,,,,,,,,,
12/31/1999,0.17,,nan,,,,,,,,,,,,,,,,
9/30/1999,0.1425,,nan,,,,,,,,,,,,,,,,
6/30/1999,0.1725,,nan,,,,,,,,,,,,,,,,
3/31/1999,0.1575,,nan,,,,,,,,,,,,,,,,
12/31/1998,0.165,,nan,,,,,,,,,,,,,,,,
9/30/1998,0.095,,nan,,,,,,,,,,,,,,,,
6/30/1998,0.145,,nan,,,,,,,,,,,,,,,,
3/31/1998,-0.2975,,nan,,,,,,,,,,,,,,,,
12/31/1997,0.1275,,nan,,,,,,,,,,,,,,,,
9/30/1997,0.2625,,nan,,,,,,,,,,,,,,,,
6/30/1997,0.1525,,nan,,,,,,,,,,,,,,,,
3/31/1997,0.1275,,nan,,,,,,,,,,,,,,,,
12/31/1996,0.15,,nan,,,,,,,,,,,,,,,,
9/30/1996,0.1,,nan,,,,,,,,,,,,,,,,
6/28/1996,0.1225,,nan,,,,,,,,,,,,,,,,
3/29/1996,-0.1225,,nan,,,,,,,,,,,,,,,,
12/29/1995,0.1175,,nan,,,,,,,,,,,,,,,,
9/29/1995,0.06,,nan,,,,,,,,,,,,,,,,
6/30/1995,0.13,,nan,,,,,,,,,,,,,,,,
3/31/1995,0.125,,nan,,,,,,,,,,,,,,,,
12/30/1994,0.11,,nan,,,,,,,,,,,,,,,,
9/30/1994,0.0875,,nan,,,,,,,,,,,,,,,,
6/30/1994,0.1175,,nan,,,,,,,,,,,,,,,,
3/31/1994,0.11,,nan,,,,,,,,,,,,,,,,
12/31/1993,0.0925,,nan,,,,,,,,,,,,,,,,
9/30/1993,0.075,,nan,,,,,,,,,,,,,,,,
6/30/1993,0.0975,,nan,,,,,,,,,,,,,,,,
