Date,Open,High,Low,Close,Volume
1/4/2019,144.529999,148.550003,143.800003,148.259995,5.86E+07
1/3/2019,143.979996,145.720001,142,142.190002,9.13E+07
1/2/2019,154.889999,158.850006,154.229996,157.919998,3.70E+07
12/31/2018,158.529999,159.360001,156.479996,157.740005,3.50E+07
12/28/2018,157.5,158.520004,154.550003,156.229996,4.23E+07
12/27/2018,155.839996,156.770004,150.070007,156.149994,5.31E+07
12/26/2018,148.300003,157.229996,146.720001,157.169998,5.86E+07
12/24/2018,148.149994,151.550003,146.589996,146.830002,3.72E+07
12/21/2018,156.860001,158.160004,149.630005,150.729996,9.57E+07
12/20/2018,160.399994,162.110001,155.300003,156.830002,6.48E+07
12/19/2018,166,167.449997,159.089996,160.889999,4.90E+07
12/18/2018,165.380005,167.529999,164.389999,166.070007,3.38E+07
12/17/2018,165.449997,168.350006,162.729996,163.940002,4.43E+07
12/14/2018,169,169.080002,165.279999,165.479996,4.07E+07
12/13/2018,170.490005,172.570007,169.550003,170.949997,3.19E+07
12/12/2018,170.399994,171.919998,169.020004,169.100006,3.56E+07
12/11/2018,171.660004,171.789993,167,168.630005,4.73E+07
12/10/2018,165,170.089996,163.330002,169.600006,6.20E+07
12/7/2018,173.490005,174.490005,168.300003,168.490005,4.23E+07
12/6/2018,171.759995,174.779999,170.419998,174.720001,4.31E+07
12/4/2018,180.949997,182.389999,176.270004,176.690002,4.13E+07
12/3/2018,184.460007,184.940002,181.210007,184.820007,4.08E+07
